date,ID_SpT,alpha,alpha_err,beta,beta_err,beta2,beta2_err,n,ispowerlaw,truncated,ispowerlaw2,truncated2
05_03_2020_16_10,all,1.9352020594551655,0.018959599404766797,1219.0247066402774,23.711862956873095,1554.2119092839469,30.90438972555481,281,True,False,True,False
05_03_2020_16_10,142052876,1.5829274495442704,0.16050981768400258,172.31090351179535,27.783361541871365,956.2996479109222,191.32007810855845,51,True,True,True,False
05_03_2020_16_10,388857263,1.8998854864211312,0.3568927675100244,1545.25541469029,552.5781986150245,2259.8358939034597,455.30712449878683,21,True,False,True,False
05_03_2020_16_10,29928567,2.172931586371528,0.36398429919317116,5163.50629679362,1883.1014893149438,2948.59715101454,596.7723091547364,18,True,False,True,False
05_03_2020_16_10,167894019,1.0927119328425472,0.2380544552960202,3.054760272686298,0.7277781857114982,1283.7376662034255,259.66750014900435,26,True,True,True,False
05_03_2020_16_10,272349442,1.367617797851562,0.5763854495616206,165.3499267578125,95.43903569766647,3443.8100555419924,704.034829502129,20,True,True,True,False
05_03_2020_16_10,29780677,1.4374755859374992,0.16926971588254972,81.254638671875,13.837486319954035,1816.250192260742,369.7770147147882,20,True,True,True,False
05_03_2020_16_10,220429097,1.694016676682692,0.3657892922127822,299.7148672250601,110.43039867477673,1723.8132652869592,352.56510766552765,13,True,True,True,False
05_03_2020_16_10,395130640,1.2306106567382806,0.3369443009427802,28.912918090820312,9.789062469999964,1970.7544708251953,746.3022834287468,8,True,True,True,False
05_03_2020_16_10,M6.0,1.8891500944070998,0.029391954087042937,1030.361691732542,30.57450267911817,1556.8121378387884,311.55985384874333,211,True,False,True,False
05_03_2020_16_10,M7.0,2.2735945010273872,0.08478352322335081,8728.52861439098,860.835802505846,2484.2373967950994,500.39709935061444,55,True,False,True,False
05_03_2020_16_10,M8.0,3.2155905330882386,0.8622824199497412,114284.79552001953,107686.20206667621,581.2753662109375,153.68671591910498,10,True,False,True,False
05_03_2020_16_10,M9.0,1.2826562499999992,0.3708161092930058,15.07955322265625,5.670864650359015,973.6418334960938,554.7775168899532,5,True,True,True,False
