Campaign,TIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,tstart,tstop
1.0,29780677,2.420871830354669,81083.0,81113.0,1421.116355295107,4.215366576173115,9518.0,9548.0,1340.071716563175,1340.113383337278
1.0,29780677,0.1820377465971108,83396.0,83409.0,171.87564959307795,3.368381153025685,11803.0,11816.0,1343.284226463416,1343.3022820709873
1.0,142052876,0.014177836308804759,74161.0,74164.0,4.1302865692147,0.3713393840396794,3579.0,3582.0,1330.4575779634656,1330.4617445866236
1.0,142052876,0.023078025365488086,76823.0,76829.0,11.135078563301816,0.5111337531418608,6163.0,6169.0,1334.1547551608842,1334.1630883592109
1.0,142052876,0.012982147097310605,77664.0,77684.0,29.701064199862138,2.2456821570225607,6971.0,6975.0,1335.3227914028735,1335.3505687108752
1.0,142052876,0.09456124593137494,77718.0,77730.0,40.68426815212396,0.5925452666274971,7009.0,7021.0,1335.3977901332096,1335.414456517173
1.0,142052876,0.011478078767822808,79157.0,79164.0,7.867827473942152,0.5591754975734096,8437.0,8444.0,1337.3963681710713,1337.4060902340034
1.0,142052876,0.03448887978571147,81303.0,81307.0,7.198799757881832,0.354997493034368,9738.0,9742.0,1340.376871269328,1340.3824267383072
1.0,142052876,0.4732927891883969,90441.0,90467.0,196.66810568246467,0.6689859749731172,18025.0,18051.0,1353.068335452069,1353.1044458019646
1.0,167894019,0.2916366247330471,74599.0,74607.0,90.48027879644891,1.525845401689558,4017.0,4025.0,1331.0643664847944,1331.0754775675446
1.0,167894019,0.10805354826160253,80980.0,80987.0,51.43447230133226,1.5048015541352102,9415.0,9422.0,1339.9268125363146,1339.9365347250455
1.0,167894019,0.11131983600428684,82713.0,82716.0,25.79597685900105,1.0420743481751096,11122.0,11125.0,1342.3337532840735,1342.337919947363
1.0,167894019,0.04846117617085,83273.0,83276.0,13.92029813660443,1.1411211825219052,11680.0,11683.0,1343.1115305153521,1343.1156971794385
1.0,167894019,0.1030902555841755,88092.0,88096.0,34.916976565477604,1.2679420709943614,15706.0,15710.0,1349.8045801053786,1349.8101356515315
1.0,220429097,0.21823521458522727,76760.0,76764.0,63.59979480189909,3.3533999969731005,6100.0,6104.0,1334.0666512816688,1334.072206925965
1.0,220429097,0.07299313966366118,77384.0,77388.0,32.091490584475245,3.560374434009773,6717.0,6721.0,1334.933331622554,1334.938887264609
1.0,234307350,,,,,,,,,
1.0,259901346,,,,,,,,,
1.0,280801342,,,,,,,,,
1.0,303978478,,,,,,,,,
1.0,358108509,0.16752617818634108,71679.0,71690.0,158.1384620850853,8.704353284186286,1229.0,1240.0,1327.0112032152401,1327.0264809660596
1.0,358108509,2.4681520272690656,90504.0,90519.0,1551.4259748175266,8.867651970734121,18088.0,18103.0,1353.1568290401422,1353.177662030188
1.0,389051009,0.22796097618510736,75376.0,75393.0,164.37202338130268,3.001621554355364,4765.0,4782.0,1332.1482598835735,1332.1718709540194
1.0,389051009,0.14149159215041784,81201.0,81226.0,240.41219827110604,4.029835267988956,9635.0,9660.0,1340.2384667447036,1340.2731884393588
1.0,401984769,,,,,,,,,
2.0,7150628,,,,,,,,,
2.0,29780677,0.19448168237591806,102541.0,102544.0,34.61667459612229,1.4213811950262265,10142.0,10145.0,1369.8744508854256,1369.878617533084
2.0,29780677,0.08646364736660606,106969.0,106986.0,122.199707470337,3.9535726481937727,14495.0,14512.0,1376.0244171332074,1376.0480280831744
2.0,29780677,0.12551502085345725,109949.0,109963.0,125.63526384506143,3.723868597154052,17387.0,17401.0,1380.1632724331696,1380.1827166868757
2.0,34014829,,,,,,,,,
2.0,77041172,,,,,,,,,
2.0,77041175,,,,,,,,,
2.0,142052876,0.04526581262294549,93517.0,93526.0,22.886997903774468,0.5890128595305901,2294.0,2303.0,1357.3404832488204,1357.3529830493335
2.0,142052876,0.011720257262864077,96167.0,96171.0,4.949481529545476,0.4498848888772021,4910.0,4914.0,1361.020979106603,1361.0265345698033
2.0,142052876,0.07055242796471273,96203.0,96219.0,47.92364771392073,0.8269922378645103,4945.0,4960.0,1361.0709782750855,1361.0932001275085
2.0,142052876,0.018639548722515945,96680.0,96683.0,4.705196958096222,0.3760886267604261,5389.0,5392.0,1361.7334671863434,1361.737633782837
2.0,142052876,0.2367351477220729,96696.0,96708.0,95.9941048965071,0.5507676085511355,5405.0,5417.0,1361.7556890342114,1361.7723554199986
2.0,142052876,0.2647621905373214,98561.0,98582.0,145.4938611358589,0.7329028816758941,7238.0,7259.0,1364.3459217939994,1364.3750879340698
2.0,142052876,0.04962648378547629,107289.0,107294.0,14.966506238948307,0.427426941005015,14797.0,14802.0,1376.4679247245404,1376.4748690484262
2.0,142052876,0.0248387138144599,109314.0,109322.0,15.37890951074068,0.6126115900044552,16756.0,16764.0,1379.2803743748145,1379.2914852785143
2.0,142052876,0.014458972222490598,109772.0,109777.0,6.690282131166082,0.5109302419867899,17211.0,17216.0,1379.916473440811,1379.923417751619
2.0,167894019,0.3581852259953564,92802.0,92819.0,175.5946875040071,1.9831729442012718,1594.0,1611.0,1356.3462388876478,1356.3698500701535
2.0,167894019,0.1089686597070434,99466.0,99473.0,44.52845400763781,1.7696108211324788,8137.0,8144.0,1365.6018188786431,1365.6115411094247
2.0,167894019,0.12142389212574024,104054.0,104057.0,28.18970194587744,0.9947065386233992,11624.0,11627.0,1371.974063904192,1371.9782305991162
2.0,180724005,0.8751214558557849,99179.0,99188.0,362.4365617247371,3.614159882443946,7853.0,7862.0,1365.2083565347145,1365.2208567719306
2.0,220429097,0.35904377899497364,108627.0,108630.0,69.43021531367968,2.7472025353773386,16115.0,16118.0,1378.3271129938455,1378.3312797113556
2.0,234307350,3.3285699695804047,104122.0,104126.0,662.9711369806388,12.00368698879686,11691.0,11695.0,1372.071068057354,1372.0766235294745
2.0,259901346,,,,,,,,,
2.0,270218775,,,,,,,,,
2.0,281668854,,,,,,,,,
2.0,303978478,,,,,,,,,
2.0,304392811,0.1780067449993772,109559.0,109563.0,54.473426773248526,3.826126433452015,16999.0,17003.0,1379.6259253078292,1379.6314807470053
2.0,340703996,0.029407187792025,94166.0,94170.0,9.490854085941145,0.5692175872414941,2936.0,2940.0,1358.2464421671975,1358.2519978727298
2.0,340703996,0.5210665852224348,97099.0,97112.0,126.89433547951256,0.6236471970040132,5808.0,5821.0,1362.3201520571995,1362.338208003674
2.0,340703996,0.08152472875762927,100436.0,100439.0,17.139259996106805,0.4786981564602533,9080.0,9083.0,1366.9549651899154,1366.9591319356539
2.0,340703996,0.1426450557002299,105530.0,105533.0,22.17378229642216,0.3934326732926864,13070.0,13073.0,1374.0300413476152,1374.0342080309556
2.0,358108509,,,,,,,,,
2.0,401984769,,,,,,,,,
3.0,29780677,0.08469342876510401,115055.0,115058.0,22.64949654413293,1.5533238790509771,936.0,939.0,1387.254873205248,1387.2590398341638
