campaign,tic,cstart,energy,st,real
       1,    29780677,       81083,   2.3259900e+33,       6,       1
       1,    29780677,       83396,   3.6435724e+32,       6,       1
       1,   142052876,       74161,       0.0000000,       0,       1
       1,   142052876,       74546,       0.0000000,       0,       1
       1,   142052876,       76823,       0.0000000,       0,       1
       1,   142052876,       77657,       0.0000000,       0,      -1
       1,   142052876,       77718,       0.0000000,       0,       1
       1,   142052876,       79157,       0.0000000,       0,       0
       1,   142052876,       81303,       0.0000000,       0,       0
       1,   142052876,       83152,       0.0000000,       0,       0
       1,   142052876,       88090,       0.0000000,       0,       1
       1,   142052876,       88363,       0.0000000,       0,       0
       1,   142052876,       90441,       0.0000000,       0,       1
       1,   167894019,       74599,   3.3405555e+32,       7,       1
       1,   167894019,       80980,   1.9894134e+32,       7,       1
       1,   167894019,       82713,   1.0557188e+32,       7,       1
       1,   167894019,       83273,   6.5131061e+31,       7,       1
       1,   167894019,       88092,   1.3540875e+32,       7,       1
       1,   220429097,       76760,   4.8491551e+31,       6,       1
       1,   220429097,       77383,   3.2959421e+31,       6,       0
       1,   234307350,       87843,   4.1808294e+32,       6,       1
       1,   358108509,       71679,   2.5584873e+32,       6,       1
       1,   358108509,       90504,   1.7842655e+33,       6,       1
       1,   389051009,       75376,   2.1028519e+32,       6,       1
       1,   389051009,       81201,   3.5247263e+32,       6,       1
       2,    29780677,      102541,   5.5469973e+31,       6,       1
       2,    29780677,      106547,   1.9252345e+31,       6,       1
       2,    29780677,      106969,   1.8414078e+32,       6,       1
       2,    29780677,      109949,   2.2515315e+32,       6,       1
       2,   142052876,       93517,       0.0000000,       0,       1
       2,   142052876,       96167,       0.0000000,       0,      -1
       2,   142052876,       96203,       0.0000000,       0,       1
       2,   142052876,       96680,       0.0000000,       0,      -1
       2,   142052876,       96696,       0.0000000,       0,       1
       2,   142052876,       98561,       0.0000000,       0,       1
       2,   142052876,      102760,       0.0000000,       0,      -1
       2,   142052876,      107289,       0.0000000,       0,       1
       2,   142052876,      109314,       0.0000000,       0,       1
       2,   142052876,      109772,       0.0000000,       0,       1
       2,   167894019,       92802,   7.0862560e+32,       7,       1
       2,   167894019,       99466,   1.6871182e+32,       7,       1
       2,   167894019,      104054,   1.2078379e+32,       7,       1
       2,   180724005,       99179,   1.9249316e+32,       8,       1
       2,   220429097,      108627,   7.0941336e+31,       6,       1
       2,   234307350,      104122,   7.9492491e+32,       6,       1
       2,   304392811,      109559,   2.7248401e+31,       7,       1
       2,   340703996,       91267,       0.0000000,       0,      -1
