Campaign,TIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,tstart,tstop
1.0,29780677,2.3976819515228267,81083.0,81127.0,1610.4856417958492,4.7087045392895845,9518.0,9562.0,1340.071716563175,1340.132827832725
1.0,29780677,0.18835270404815674,83396.0,83416.0,252.27627486088227,4.1640568982123165,11803.0,11823.0,1343.284226463416,1343.3120043211652
1.0,142052876,0.01762533187866211,74161.0,74169.0,10.872603370389063,0.5920460973279001,3579.0,3587.0,1330.4575779634656,1330.468688958554
1.0,142052876,0.01138770580291748,74546.0,74550.0,4.506964549362012,0.4326242820584861,3964.0,3968.0,1330.992294559001,1330.997850055614
1.0,142052876,0.022659659385681152,76823.0,76831.0,13.312295764978854,0.5809161947596796,6163.0,6171.0,1334.1547551608842,1334.1658660919668
1.0,142052876,0.01629936695098877,77657.0,77684.0,45.4791532108789,2.0607744387130005,6964.0,6975.0,1335.3130693449789,1335.3505687108752
1.0,142052876,0.09784543514251708,77718.0,77738.0,57.574792862189796,0.751052831799976,7009.0,7028.0,1335.3977901332096,1335.4255674397564
1.0,142052876,0.011647224426269531,79157.0,79164.0,8.504036805989566,0.5633196028868066,8437.0,8444.0,1337.3963681710713,1337.4060902340034
1.0,142052876,0.03514838218688965,81303.0,81307.0,7.5123141355610255,0.3605095323056836,9738.0,9742.0,1340.376871269328,1340.3824267383072
1.0,142052876,0.012950301170349121,83152.0,83155.0,3.7333094679129233,0.3718538639274129,11559.0,11562.0,1342.944889100185,1342.9490557069373
1.0,142052876,0.0187530517578125,88090.0,88093.0,4.727661450966801,0.3531178341228245,15704.0,15707.0,1349.8031179338036,1349.80728453099
1.0,142052876,0.0199507474899292,88363.0,88373.0,11.925013709577446,0.6397906363813424,15977.0,15987.0,1350.1822782297947,1350.1961668833894
1.0,142052876,0.4711298942565918,90441.0,90472.0,205.87507314665194,0.7008008722200202,18025.0,18056.0,1353.068335452069,1353.1113900998685
1.0,167894019,0.2909281253814697,74599.0,74609.0,98.81872171753037,1.650978420748792,4017.0,4027.0,1331.0643664847944,1331.078255338203
1.0,167894019,0.11190247535705566,80980.0,80988.0,58.849880426141176,1.6142192858022335,9415.0,9423.0,1339.9268125363146,1339.9379236091415
1.0,167894019,0.1151975393295288,82713.0,82717.0,31.22977109394884,1.177944711503585,11122.0,11126.0,1342.3337532840735,1342.3393088351252
1.0,167894019,0.05383265018463135,83273.0,83277.0,19.266760266165928,1.3132733755916721,11680.0,11684.0,1343.1115305153521,1343.1170860674483
