TIC,RA,DEC,pmRA,pmDEC,TESSmag,Name,Extended,Handling,Obj. Type,spt
11654435,128.8821667,-34.01028333,-134,-470,12.159,J0835-3400,N,N,M6,M6
44984200,129.5084167,-58.93305556,-31,-331,12.565,J0838-5855,N,N,M6.0,M6
7975441,133.4007917,-3.492225,-516,-185,13.903,J0853-0329,N,N,M9 V,M9
471012394,133.5511667,-8.083066667,919,-789,13.816,J0854-0804,N,N,M6.0V,M6
270511002,135.8373333,5.670569444,-49,-373,13.167,J0903+0540,N,N,M7V,M7
380532990,140.30875,-21.07890556,289,-921,15.8325,J0921-2104,N,N,L1.5,L1
423319208,140.7623333,-23.01140278,-6.2,1.6,13.478,J0923-2300,N,N,M8.2,M8
293520468,142.8417917,-17.29527778,-313,-128,13.4015,J0931-1717,N,N,M6.5,M6
415678624,148.0911667,-19.40863611,-70,-98,14.1935,J0952-1924,N,N,M6.5,M6
73118477,153.7310417,-41.65631667,-113,599,8.077,J1014-4139,N,N,M6Ve,M6
272349442,154.3620417,-53.90723611,-177,-10.3,10.81,J1017-5354,N,N,M6?,M6
449671564,162.0043333,-76.57085556,-261,106,12.236,J1048-7634,N,N,M6,M6
55099399,162.0524167,-11.33556111,580,-1531,11.113,J1048-1120,N,N,M6,M6
107012050,162.0609583,-39.93500556,-1175,-993,12.229,J1048-3956,N,N,M9,M9
119862115,162.3287917,-53.31944444,-2759,354,14.6565,J1049-5319,N,N,L7.5 + T0.5,L7
369863567,163.5459167,-85.08389722,-417,205,15.241,J1054-8505,N,N,M8,M8
277539431,163.8154583,-73.93639722,143,-175,13.031,J1055-7356,N,N,M7,M7
454227159,165.33025,-77.543975,-134,34,15.5695,J1101-7732,N,N,M7.5,M7
1539914,166.737125,-12.7339,-335,11,14.1145,J1106-1244,N,N,M6.5 V,M6
454291779,166.8195,-77.59806111,-20,192,15.8445,J1107-7735,N,N,M7.75,M7
395130640,169.2387917,-80.46445,-169,16,12.089,J1116-8027,N,N,M6,M6
471012738,170.4551667,-13.2189,-464.21,-57,14.474,J1121-1313,N,N,M8,M8
322568489,176.055,-65.26835833,-314,-316,11.423,J1144-6516,N,N,M7,M7
61476051,176.100375,-43.04833333,-289,125,14.43,J1144-4302,N,N,M6,M6
165231308,178.9146667,-37.45973889,113,-861,15.937,J1155-3727,N,N,L2.0,L2
5630425,178.9285833,-22.41612778,-357,-179,13.4035,J1155-2224,N,N,M7.5,M7
332470458,179.8642917,-52.78835833,-1076.6,-130.7,14.121,J1159-5247,N,N,M9V,M9
98874143,180.4254583,-27.62918889,-272,-161,14.4435,J1201-2737,N,N,M6.5V,M6
204721469,185.98475,-27.96280278,-1215,291,14.233,J1223-2757,N,N,M6V,M6
398985964,192.719375,-21.35362778,448,-338,13.4885,J1250-2121,N,N,M6.5,M6
471012740,192.98025,-16.23639722,-378.2,-221,14.475,J1251-1614,N,N,M6V,M6
2470992,194.0089583,-12.95585278,-270,-186,13.419,J1256-1257,N,N,M7,M7
248223026,194.7695833,-43.606675,1099,-274,13.08,J1259-4336,N,N,M8:,M8
415839928,197.3410417,-23.50972222,32,-364,14.331,J1309-2330,N,N,M8,M8
30101427,206.6916667,-31.82388889,-325,172,13.231,J1346-3149,N,N,M6,M6
125835702,216.0779167,-35.24223611,-2,-79,14.1705,J1424-3514,N,N,M6.5,M6
388857263,217.4289167,-62.67948889,-3776,768,7.613,J1429-6240,N,N,M6.0,M6
471012770,224.159625,-28.16306389,-484,-846,12.366,J1456-2809,N,N,M7 V,M7
441000085,226.0675417,-23.93223333,-340,-71,14.4845,J1504-2355,N,N,M7.5,M7
190138951,235.180875,-51.02640833,0,0,11.362,J1540-5101,N,N,M7,M7
72254026,236.674375,-55.57968889,-247,-187,12.755,J1546-5534,N,N,M8.0,M8
23997017,238.1858333,-26.38695556,287,-515,12.514,J1552-2623,N,N,M6,M6
363217984,248.4545,-68.14666667,-80,-363,13.737,J1633-6808,N,N,M8 + M8.5,M8
217005900,259.7071667,-46.63864722,-13.1,-38.7,13.1145,J1718-4638,N,N,M6.5V,M6
464378628,281.2722917,-63.96305833,2444,696,12.1625,J1845-6357,N,N,M8.5,M8
