Campaign,TIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
1,29780677,2.424055576324463,81083.0,81127.0,1638.7743080570742,4.680146545602041,9518.0,9562.0,,1340.071716563175,1340.132827832725
1,29780677,0.18509972095489505,83396.0,83416.0,244.72974723049742,4.116729807425647,11803.0,11823.0,,1343.284226463416,1343.3120043211652
1,142052876,0.015014410018920897,74161.0,74165.0,5.772811690450799,0.40841730975745216,3579.0,3583.0,,1330.4575779634656,1330.4631334610092
1,142052876,0.02200841903686524,76823.0,76831.0,12.725051709777233,0.5498141006972298,6163.0,6171.0,,1334.1547551608842,1334.1658660919668
1,142052876,0.015627503395080566,77660.0,77684.0,37.27068812431121,1.9420713947203765,6967.0,6975.0,,1335.3172359412615,1335.3505687108752
1,142052876,0.0908055305480957,77718.0,77733.0,42.49931734973229,0.607564872131303,7009.0,7023.0,,1335.3977901332096,1335.4186231131641
1,142052876,0.01522207260131836,78410.0,78413.0,4.381121157191636,0.3353843284312612,7697.0,7700.0,,1336.358884590056,1336.3630511827876
1,142052876,0.010119199752807615,79157.0,79164.0,7.784944765852691,0.5325561481551851,8437.0,8444.0,,1337.3963681710713,1337.4060902340034
1,142052876,0.4484443664550781,90441.0,90472.0,193.7945152960944,0.6537992449881723,18025.0,18056.0,,1353.068335452069,1353.1113900998685
1,142052876,0.01457095146179199,90482.0,90485.0,3.7726940476433306,0.3390272708177463,18066.0,18069.0,,1353.1252786955322,1353.1294452741756
1,167894019,0.251064658164978,74599.0,74609.0,85.79411972086659,1.3112838072213608,4017.0,4027.0,,1331.0643664847944,1331.078255338203
1,167894019,0.09691393375396727,80980.0,80988.0,50.961580986175356,1.285779338649557,9415.0,9423.0,,1339.9268125363146,1339.9379236091415
1,167894019,0.0985349416732788,82713.0,82718.0,28.93315830819468,0.9990583988273012,11122.0,11127.0,,1342.3337532840735,1342.340697722888
1,167894019,0.04581940174102783,83273.0,83277.0,16.500081275925147,1.036413532544246,11680.0,11684.0,,1343.1115305153521,1343.1170860674483
1,167894019,0.09038197994232178,88092.0,88097.0,34.65981816913116,1.0951457341080006,15706.0,15711.0,,1349.8045801053786,1349.8115245380702
1,220429097,0.2057147026062012,76760.0,76764.0,61.35864991769294,2.757004249365346,6100.0,6104.0,,1334.0666512816688,1334.072206925965
1,220429097,0.07027769088745117,77383.0,77388.0,39.43004490906228,3.255423026766956,6716.0,6721.0,,1334.9319427120336,1334.938887264609
1,234307350,,,,,,,,,,
1,259901346,,,,,,,,,,
1,280801342,,,,,,,,,,
1,303978478,,,,,,,,,,
1,358108509,0.15524232387542725,71678.0,71691.0,169.36104538790389,6.678693117683372,1228.0,1241.0,,1327.0098143287178,1327.0278698525822
1,358108509,1.906606674194336,90504.0,90519.0,1189.9956419829034,6.223499622843947,18088.0,18103.0,,1353.1568290401422,1353.177662030188
1,389051009,0.23764514923095706,75377.0,75394.0,174.09017328517447,3.3851756088467995,4766.0,4783.0,,1332.1496487698932,1332.1732598403378
1,389051009,0.16613280773162842,81201.0,81229.0,296.6037519015757,4.831045140106694,9636.0,9664.0,,1340.2384667447036,1340.2773550428094
1,401984769,,,,,,,,,,
2,7150628,,,,,,,,,,
2,29780677,0.17699074745178225,102541.0,102545.0,35.660628704262194,1.3800915950438577,10142.0,10146.0,,1369.8744508854256,1369.8800064156371
2,29780677,0.034331440925598145,106547.0,106550.0,11.716413261512649,1.5031829670830643,14085.0,14088.0,,1375.4383099318563,1375.4424765713075
2,29780677,0.08373832702636719,106969.0,106985.0,107.73490322798258,3.3977911642929866,14495.0,14511.0,,1376.0244171332074,1376.0466392037647
2,29780677,0.12223565578460692,109949.0,109963.0,126.25042585064949,3.3504470201490744,17387.0,17401.0,,1380.1632724331696,1380.1827166868757
2,34014829,,,,,,,,,,
2,77041175,,,,,,,,,,
2,142052876,0.03827047348022461,93517.0,93526.0,19.189919321593507,0.5339646175588674,2294.0,2303.0,,1357.3404832488204,1357.3529830493335
2,142052876,0.06332874298095703,96203.0,96220.0,53.81619065793612,0.804205255973459,4945.0,4961.0,,1361.0709782750855,1361.0945889932825
2,142052876,0.2104449272155761,96696.0,96711.0,90.61735504532257,0.5202999319841379,5405.0,5420.0,,1361.7556890342114,1361.7765220164356
2,142052876,0.2388815879821777,98561.0,98582.0,130.00332298868187,0.6568407439851253,7238.0,7259.0,,1364.3459217939994,1364.3750879340698
2,142052876,0.0461273193359375,107289.0,107295.0,15.62326011225265,0.4162589460541923,14797.0,14803.0,,1376.4679247245404,1376.4762579132
2,142052876,0.02345573902130127,109314.0,109322.0,15.309634532071831,0.5563771486127651,16756.0,16764.0,,1379.2803743748145,1379.2914852785143
2,142052876,0.01288127899169922,109772.0,109775.0,4.041818090344147,0.3550624370747117,17211.0,17214.0,,1379.916473440811,1379.9206400273013
2,167894019,0.28746867179870605,92802.0,92830.0,177.52602396784408,1.96307833675054,1593.0,1621.0,,1356.3462388876478,1356.3851278942434
2,167894019,0.0421522855758667,98063.0,98069.0,18.97969579157913,1.56819924904382,6763.0,6767.0,,1363.653204599325,1363.6615379508712
2,167894019,0.08688807487487793,99466.0,99473.0,39.685026819731775,1.5033338483697125,8136.0,8143.0,,1365.6018188786431,1365.6115411094247
2,167894019,0.09877932071685792,104054.0,104059.0,28.84737516979046,0.978276079208825,11623.0,11628.0,,1371.974063904192,1371.9810083957118
2,180724005,0.885611891746521,99179.0,99189.0,385.656529932552,3.960984082270217,7854.0,7864.0,,1365.2083565347145,1365.222245687022
