c,f
77684,1.0024018
77685,1.0044457
77686,1.0070424
77687,1.0028592
77688,1.0024256
77689,1.0028299
77690,1.0017966
77691,0.99852675
77692,1.0000441
77693,1.0037113
77694,1.0055759
77695,1.0009185
77696,1.0018432
77697,1.0020123
77698,0.99649227
77699,1.0025429
77700,0.9977961
77701,0.9994847
77702,1.0035733
77703,1.0015277
77704,1.0012189
77705,1.0030957
77706,1.002615
77707,1.0032426
77708,1.0007668
77709,1.0023069
77710,1.0028918
77711,1.0007621
77712,0.9989562
77713,1.0012902
77714,0.99927676
77715,1.002541
77716,1.002258
77717,0.9981559
77718,1.0340016
77719,1.094124
77720,1.0374168
77721,1.0431398
77722,1.0286591
77723,1.0277961
77724,1.0208012
77725,1.0191517
77726,1.0198227
77727,1.0145855
77728,1.0151337
77729,1.0182965
77730,1.010341
77732,1.0111663
77733,1.0048046
77734,1.0079156
77735,1.0093632
77736,1.0074736
77737,1.0088946
77738,1.005875
77739,1.0037054
77740,1.0033885
77741,1.0024526
77742,1.0049524
77743,1.0055923
77744,1.0050544
77745,1.0027156
77746,1.0016949
77747,1.004408
77748,1.0040021
77749,1.003742
77750,1.0020406
77751,1.0044262
77752,1.0006338
77753,1.0029818
77754,1.0026342
77755,0.99875057
77756,0.9991067
77757,1.0014678
77758,1.0003178
77759,0.997902
77760,1.0032992
77761,1.0008209
77762,1.0001322
77763,1.003367
77764,1.0049139
77765,1.0046821
77766,0.99695134
77767,1.003319
77768,1.0003482
77769,0.99871117
77770,1.0001003
77771,0.99738574
77773,0.998455
77774,1.0000836
77775,0.9998115
77776,0.9985231
77777,1.0029322
77778,0.9977716
77779,0.99722975
77780,0.99758685
77781,0.99889743
77782,1.0002548
77783,1.0012721
77784,0.9998491
77785,0.99506885
77786,0.9994501
77787,1.000081
77788,1.0012403
77789,1.0024346
77790,1.0012466
77791,1.003726
77792,0.9997135
77793,1.0003296
77794,0.998969
77795,0.9985681
77796,1.0028318
77797,0.99822176
77798,0.99826646
77799,0.99750715
77800,1.0003062
77801,0.998455
77802,0.9980312
77803,1.0063585
77804,1.0026793
77805,0.99980366
77806,0.999936
77807,1.0024445
77808,1.0006891
77809,1.0021816
77810,1.0030469
77811,1.004063
77812,1.0000544
77813,1.0001746
77814,1.0003716
77815,0.99806213
77816,0.99976736
77817,1.0016248
77818,0.99603635
77819,0.9973626
