c,f
300853,1.0011758
300854,0.9986549
300855,1.0034643
300856,0.99644935
300857,0.9969845
300858,0.9996457
300859,1.0005318
300860,0.99566174
300861,0.9990577
300862,0.9895393
300863,0.99392986
300864,1.0018569
300865,0.9966165
300866,0.98747724
300867,0.9833286
300868,0.9967836
300869,1.002119
300870,0.9980063
300871,1.0020721
300872,0.9995592
300873,1.0044477
300874,1.0018523
300875,0.9966298
300876,1.0086734
300877,0.9985607
300878,1.0050826
300879,1.0085217
300880,1.0076321
300881,1.0037365
300882,1.0303391
300883,1.001968
300884,1.0139593
300885,1.0068896
300886,0.99584997
300887,1.0110446
300888,1.0139861
300889,1.0034992
300890,0.99757946
300891,1.0102749
300892,1.0169437
300893,1.0144992
300894,1.007187
300895,1.0245858
300896,1.004761
300897,1.0010347
300898,1.0072122
300899,1.003174
300900,1.0215911
300901,1.0050778
300902,1.0099669
300903,1.0859156
300904,1.0278409
300905,1.0192779
300906,1.0238883
300907,1.0227835
300908,1.0089482
300909,1.0092236
300910,1.0160981
300911,1.0076622
300912,1.0044229
300913,1.0115815
300914,0.9950214
300915,0.9973132
300916,0.9993746
300917,1.0113224
300918,1.0078534
300919,1.0053339
300920,1.0103682
300921,1.006966
300922,1.0029645
300923,0.99321574
300924,1.0088973
300925,1.00608
300926,1.0042944
300927,0.99617654
300928,1.0062875
300929,1.0040376
300930,0.99782264
300931,0.99587995
300932,0.9926157
300933,0.9857578
300934,0.98948807
300935,1.000994
300936,1.0102404
300937,0.9890406
300938,1.011094
300939,0.99955285
300940,0.9988646
300941,0.9975419
300942,0.9891055
300943,1.0037479
300944,1.0095048
300945,0.9920292
300946,1.009439
300947,1.003424
300948,1.019037
300949,1.0063927
300950,0.9896577
300951,0.99473286
300952,0.99608237
300953,0.99825215
300954,1.0126722
300955,0.99852735
300956,1.0071487
300957,0.9919649
300958,1.0145528
300959,0.98948765
300960,0.9906361
300961,0.996779
300962,0.9942307
300963,1.0035353
300964,1.0002792
300965,1.0115644
300966,1.0033743
300967,0.9942085
300968,0.9984993
300969,0.99369895
300970,1.0026057
300971,1.0017344
300972,0.99249023
300973,1.004992
300974,1.007211
300975,0.9969404
300976,0.9955215
300977,0.9979143
300978,0.999378
300979,0.99470615
300980,0.99013215
300981,1.0053399
300982,1.0039483
300983,1.0010023
300984,0.98840034
300985,1.0090421
300986,1.0061513
300987,1.0017265
300988,1.0014818
