c,f
78360,0.99979794
78361,1.0025601
78362,1.000993
78363,0.9995772
78364,0.99938095
78365,0.99985576
78366,1.000173
78367,1.0003434
78368,1.0021911
78369,0.99753034
78370,0.998819
78371,1.0011541
78372,1.0016842
78373,0.99995536
78374,0.9968973
78375,0.99925435
78376,0.9981874
78377,0.9999441
78378,0.99896115
78379,1.0025294
78380,0.9998801
78381,0.9986109
78382,1.0009388
78383,1.0009676
78384,1.0028853
78385,1.0006517
78386,1.0010071
78387,0.9996934
78388,0.9982672
78389,0.99897826
78390,1.0000249
78391,0.9946975
78392,1.0027492
78393,1.0002588
78394,1.0000778
78395,1.0017139
78396,0.99846977
78397,1.0029651
78398,0.997467
78399,0.9992583
78400,1.0010369
78401,1.0069567
78402,0.99665797
78403,1.0023048
78404,0.99468285
78405,1.0002817
78406,0.9995783
78407,1.0004216
78408,0.99831057
78409,0.9998828
78410,1.0145127
78411,1.0153514
78412,1.0070511
78413,1.0015799
78414,1.0060583
78415,1.0052817
78416,1.0027261
78417,1.0019423
78418,0.99945074
78419,1.000818
78420,1.0035605
78421,0.9987042
78422,0.99851435
78423,0.99776834
78424,1.0007477
78425,0.99928904
78426,0.9984572
78427,0.9988768
78428,1.0000346
78429,0.99794745
78430,1.0012956
78431,0.9984354
78432,1.0043958
78433,0.99824244
78434,1.0002464
78435,0.99830717
78436,1.0010988
78437,1.0031182
78438,0.9973008
78439,0.99878424
78440,1.0009896
78441,0.99984527
78442,0.99791455
78443,0.99976414
78444,0.9999356
78445,0.99700785
78446,0.9988828
78447,1.0031931
78448,0.9963573
78449,0.99823207
78450,1.0038726
78451,1.0007601
78452,0.99936634
78453,0.9983206
78454,0.9954291
78455,0.9980121
78456,0.9993655
78457,0.9984559
78458,1.0010014
78459,0.99667937
78460,1.0012258
78461,0.9984065
78462,1.001439
78463,1.0015243
78464,1.0041546
78465,1.0026028
78466,1.0020148
78467,1.0026166
78468,1.0009459
78469,1.0031645
78470,1.0005525
78471,1.0022105
78472,1.0007252
78473,1.0004914
78474,0.99954695
78475,0.99747056
78476,1.0011286
78477,0.9970354
78478,0.997978
78479,0.9997013
78480,0.9988584
78481,0.9969091
78482,0.9989435
78483,0.99911964
78484,0.99967784
78485,1.003262
78486,0.9978236
78487,1.0012349
78488,0.9969154
78489,1.0025275
78490,1.000178
78491,1.0001475
78492,1.0000396
78493,0.99981767
