c,f
191099,0.99750495
191100,0.99760115
191101,0.9957371
191102,1.0002908
191103,0.9984913
191104,0.9985207
191105,0.9985721
191106,0.9999988
191107,1.0003946
191108,0.9972858
191109,0.99784774
191110,0.9998485
191111,0.9957505
191112,0.99787927
191113,1.0022328
191114,1.0133572
191115,1.1333846
191116,1.1149087
191117,1.0800056
191118,1.055549
191119,1.0402727
191120,1.0307397
191121,1.0252063
191122,1.0235465
191123,1.0172157
191124,1.0139301
191125,1.0128918
191126,1.013151
191127,1.0074568
191128,1.009366
191129,1.0052563
191130,1.005008
191131,1.004241
191132,1.0015708
191133,1.0010654
191134,1.0012206
191135,1.0030154
191136,1.0024389
191137,1.0022777
191138,0.99999017
191139,0.99912363
191140,1.0023382
191141,1.001667
191142,1.0040754
191143,0.9995763
191144,0.9957913
191145,1.0033237
191146,1.0015031
191147,0.99956936
191148,1.0016772
191149,0.99809355
191150,0.99842924
191151,1.0016687
191152,1.0009191
191153,1.0018897
191154,1.000503
191155,1.0016105
191156,1.0018559
191157,1.0002134
191158,1.0017208
191159,1.0030352
