c,f
290251,0.9993301
290252,1.0001624
290253,0.9988579
290254,0.99999076
290255,0.9994961
290256,1.0000099
290257,1.0000061
290258,0.9990998
290259,0.99941564
290260,0.9997613
290261,0.99911964
290262,0.9997394
290263,1.0004092
290264,1.0007175
290265,0.999482
290266,1.0008425
290267,1.0002913
290268,1.0007116
290269,1.0001448
290270,1.0000423
290271,1.000195
290272,0.99896485
290273,0.9991249
290274,1.0002742
290275,1.0002906
290276,0.9998525
290277,0.9972379
290278,1.0000402
290279,0.99968785
290280,1.0005366
290281,0.9999455
290282,0.99974144
290283,0.9999951
290284,1.000282
290285,1.0018419
290286,1.0030888
290287,1.0013512
290288,1.0037658
290289,1.0034436
290290,1.0025395
290291,1.0024338
290292,1.0029637
290293,1.0024807
290294,1.0004289
290295,1.0020329
290296,1.0017928
290297,1.0019568
290298,1.0020274
290299,1.0007573
290300,1.0016079
290301,1.0025796
290302,1.0026549
290303,1.0025421
290304,1.0024823
290305,1.0025405
290306,1.0031075
290307,1.002191
290308,1.0028198
290309,1.0031903
290310,1.0022652
290311,1.0004232
290312,1.0035839
290313,1.0022349
290314,1.0020288
290315,1.0019823
290316,1.0027953
290317,1.0036356
290318,1.0035403
290319,1.0023654
290320,1.001038
290321,1.0004785
290322,0.9988503
290323,1.0005896
290324,1.0007323
290325,1.0019873
290326,1.001929
290327,1.0006621
290328,1.0006372
290329,1.0016079
290330,1.001716
290331,1.0008426
290332,1.0006856
290333,1.0010346
290334,1.000688
290335,0.9990006
290336,1.0010302
290337,0.99975765
290338,1.0009123
290339,0.99887544
290340,0.9992186
290341,0.99987894
290342,0.99977744
290343,1.000521
290344,1.0005419
290345,0.99948335
290346,1.0000727
290347,1.0007569
290348,0.99982053
290349,0.9980503
290350,0.9987904
290351,1.000359
290352,1.0005585
290353,1.0003048
290354,0.9986672
290355,1.0005361
290356,0.9987805
290357,0.999649
290358,1.000156
290359,1.0003461
290360,0.99916
290361,0.99823934
290362,1.000482
290363,1.000644
290364,1.0010324
290365,0.9999064
290366,1.0006167
290367,1.0009866
290368,1.0006063
290369,0.9998422
290370,0.99852717
290371,0.9991141
290372,1.0001837
290373,1.0008316
290374,0.9989405
290375,0.9998375
290376,1.0007659
290377,0.99918306
290378,0.9991626
290379,0.99933296
290380,1.0023636
290381,1.0020144
290382,1.0004151
290383,1.0013044
290384,1.0011158
290385,1.0016791
290386,0.9990303
290387,0.9995157
290388,1.0007893
290389,1.0003382
290390,0.99876934
290391,0.9996059
