c,f
187782,0.9944395
187783,1.0094562
187784,0.9958816
187785,1.0093418
187786,0.9998221
187787,0.98766476
187788,0.9965038
187789,1.0114758
187790,1.0093127
187791,1.0038514
187792,1.0004905
187793,1.0001054
187794,0.9988383
187795,1.0026786
187796,1.0064312
187797,0.99921215
187798,1.0038842
187799,0.9954582
187800,1.0058782
187801,1.0047163
187802,0.996939
187803,1.0105172
187804,0.9902098
187805,0.9935674
187806,1.0088452
187807,0.99353135
187808,1.0098062
187809,1.0118786
187810,1.0005232
187811,0.9994154
187812,0.99982375
187813,0.9924994
187814,0.99925345
187815,1.000098
187816,0.9906186
187817,0.99616456
187818,0.9991008
187819,0.99868506
187820,1.0105644
187821,0.9951985
187822,0.99500054
187823,0.9893009
187824,1.0004969
187825,0.998013
187826,0.9920977
187827,0.9997424
187828,1.0000287
187829,0.9930734
187830,0.99245673
187831,0.9898957
187832,1.0554482
187833,1.0439023
187834,1.0444237
187835,1.0425255
187836,1.0313176
187837,1.0371683
187838,1.0567358
187839,1.049505
187840,1.0470037
187841,1.0458643
187842,1.0618489
187843,1.0431372
187844,1.0329814
187845,1.0327519
187846,1.0304385
187847,1.0241339
187848,1.0315868
187849,1.0243961
187850,1.0309256
187851,1.023087
187852,1.0267131
187853,1.0043654
187854,1.0132263
187855,1.0152196
187856,1.0126799
187857,1.014095
187858,1.0113853
187859,1.0005857
187860,1.000623
187861,1.0267394
187862,1.0053495
187863,1.0064415
187864,1.01503
187865,1.0101184
187866,1.020124
187867,1.0043559
187868,1.0007097
187869,1.0138474
187870,1.0225651
187871,1.0015395
187872,1.0047438
187873,0.9941434
187874,1.0079633
187875,1.0008641
187876,1.004507
187877,1.0003641
187878,0.99843955
187879,1.0100669
187880,1.0092704
187881,1.0006299
187882,1.0005766
187883,1.0103977
187884,1.0105307
187885,1.0057362
187886,0.99698305
187887,0.99761
187888,1.0027384
187889,0.9868359
187890,1.0052812
187891,1.0034541
187892,0.9882261
187893,0.9989194
187894,1.0041798
187895,0.99569315
187896,1.0091432
187897,0.9966775
187898,1.0093776
187899,0.97719413
187900,0.99119496
187901,1.0015936
187902,1.0009469
187903,0.98775935
187904,1.0046006
187905,1.0076866
187906,1.0016406
187907,1.012351
187908,0.9932132
187909,0.99242747
187910,0.9932289
187911,1.0047361
187912,0.98753995
187913,1.0114144
187914,0.9998361
187915,0.9958085
187916,0.99862945
187917,1.0109881
187918,0.9977223
187919,0.9914139
187920,0.9984435
187921,0.98984563
187922,0.9960891
187923,1.0062852
187924,0.9927175
187925,1.004532
187926,0.99475646
187927,1.0059993
187928,1.0106617
187929,0.99901164
187930,1.0066514
187931,0.98802555
187932,1.0092452
187933,0.9990756
