c,f
124356,0.9997298
124357,0.9998008
124358,1.0005056
124359,1.0003737
124360,0.9997705
124361,0.99944633
124362,0.99999505
124363,0.99994683
124364,1.000039
124365,0.99923754
124366,0.9995311
124367,0.99907684
124368,0.9984321
124369,0.9986406
124370,0.9998676
124371,0.9987892
124372,0.9979895
124373,0.99868846
124374,0.9987089
124375,0.99757725
124376,0.99810976
124377,0.99793774
124378,0.9980716
124379,0.9982695
124380,0.999143
124381,1.0007175
124382,0.9986663
124383,1.0007627
124384,1.0030853
124385,1.0355815
124386,1.0409659
124387,1.0313574
124388,1.0243672
124389,1.0231162
124390,1.0218177
124391,1.022383
124392,1.0214305
124393,1.0214195
124394,1.020677
124395,1.0205957
124396,1.0196117
124397,1.0175828
124398,1.0155988
124399,1.0136981
124400,1.0128158
124401,1.0101541
124402,1.0085852
124403,1.0075144
124404,1.0064429
124405,1.0058948
124406,1.0051103
124407,1.0059103
124408,1.005666
124409,1.0047673
124410,1.0034499
124411,1.0037392
124412,1.0023284
124413,1.0015879
124414,1.0004364
124415,1.001345
124416,1.0006121
124417,0.9995147
124418,1.0005349
124419,1.0015166
124420,1.000465
124421,1.0024747
124422,1.0003455
124423,1.0012726
124424,1.0016438
124425,1.0007162
124426,1.0004379
124427,0.99965286
124428,0.9998448
124429,1.0003783
124430,0.9994361
124431,1.0001619
124432,1.0005655
124433,0.99943405
124434,0.99913603
124435,0.9987376
124436,0.9999384
124437,1.0001876
124438,1.0000601
124439,0.9983392
124440,0.9997365
124441,0.9995508
124442,0.9991945
124443,0.99963945
124444,1.0001147
124445,0.9993917
124446,1.0001107
124447,0.99981475
124448,0.99877524
124449,1.0000052
124450,0.9995793
124451,0.99936455
124452,1.0008764
124453,1.0000879
124454,1.0009149
124455,1.0011023
124456,1.0003531
124457,1.000183
124458,0.9997107
124460,0.9994379
124461,1.0007305
124462,1.0000563
124463,1.0002769
124464,1.0005835
124465,0.9996758
124466,0.9992463
124467,0.99973893
124468,1.0003227
