c,f
79147,0.9968728
79148,0.9989389
79149,0.9991756
79150,1.0030255
79151,1.0017705
79152,1.0034814
79153,1.0030204
79154,0.9997376
79155,1.004003
79156,1.0014788
79157,1.0095412
79158,1.0102941
79159,1.0100818
79160,1.009849
79161,1.0086159
79162,1.0100037
79163,1.0078124
79164,1.0048324
79165,1.0078404
79166,1.0017515
79167,1.0035731
79168,1.0037034
79169,1.0030004
79170,1.0067173
79171,1.0017471
79172,1.0008836
79173,1.0036349
79174,1.0000552
79175,1.0020373
79176,1.0002424
79177,1.001326
79178,0.99872845
79179,0.9977382
79180,1.0007374
79181,0.99998087
79182,1.0037419
79183,1.0005317
79184,0.9972534
79185,1.0012658
79186,0.99799305
79187,1.0004114
79188,0.9980894
79189,1.0049782
79190,0.9990345
79191,0.9967401
