c,f
133565,0.998421
133566,1.0004597
133567,0.9945548
133568,0.99622583
133569,1.0013318
133570,1.0008991
133571,0.99971724
133572,0.99595505
133573,1.0029169
133574,0.9973198
133575,0.9978709
133576,1.0330753
133577,1.0253128
133578,1.0188818
133579,1.02107
133580,1.0177982
133581,1.0156273
133582,1.0117589
133583,1.016106
133584,1.0118841
133585,1.0108372
133586,1.0074958
133587,1.0056512
133588,1.0084956
133589,1.0056369
133590,1.0012285
133591,1.0032858
133592,1.0031492
133593,0.9999806
133594,0.9994023
133595,1.0054932
133596,0.99929893
133597,1.0013115
133598,1.0025544
133599,0.99958813
133600,1.005807
133601,1.0044134
133602,1.0007052
133603,1.0032392
133604,0.9984481
133605,1.0024118
133606,1.0013613
133607,1.0013608
133608,0.9992475
133609,1.0005126
