c,f
302181,0.99481916
302182,0.9974177
302183,0.99244034
302184,0.9989605
302185,1.0008547
302186,1.0001532
302187,0.9974706
302188,0.99804294
302189,0.99495995
302190,0.99299425
302191,1.0412233
302192,1.0573734
302193,1.0193918
302194,1.0144271
302195,1.0063584
302196,1.0067587
302197,1.0069903
302198,1.0084825
302199,1.002724
302200,1.0003554
302201,1.0060652
302202,1.0008909
302203,1.0044968
302204,1.0054538
302205,0.99514097
302206,1.0017567
302207,0.99899834
302208,1.0032332
302209,1.0016896
302210,1.0010287
302211,1.0004107
302212,0.9977107
302213,1.0042591
302214,0.9986401
302215,0.9990003
302216,1.0085719
302217,1.0026474
302218,0.9950749
302219,1.0006182
302220,1.0008944
302221,1.001682
302222,0.99980867
302223,1.0022362
302224,0.9926786
302225,1.0016872
