c,f
187822,0.99500054
187823,0.9893009
187824,1.0004969
187825,0.998013
187826,0.9920977
187827,0.9997424
187828,1.0000287
187829,0.9930734
187830,0.99245673
187831,0.9898957
187832,1.0554482
187833,1.0439023
187834,1.0444237
187835,1.0425255
187836,1.0313176
187837,1.0371683
187838,1.0567358
187839,1.049505
187840,1.0470037
187841,1.0458643
187842,1.0618489
187843,1.0431372
187844,1.0329814
187845,1.0327519
187846,1.0304385
187847,1.0241339
187848,1.0315868
187849,1.0243961
187850,1.0309256
187851,1.023087
187852,1.0267131
187853,1.0043654
187854,1.0132263
187855,1.0152196
187856,1.0126799
187857,1.014095
187858,1.0113853
187859,1.0005857
187860,1.000623
187861,1.0267394
187862,1.0053495
187863,1.0064415
187864,1.01503
187865,1.0101184
187866,1.020124
187867,1.0043559
187868,1.0007097
187869,1.0138474
187870,1.0225651
187871,1.0015395
187872,1.0047438
187873,0.9941434
187874,1.0079633
187875,1.0008641
187876,1.004507
187877,1.0003641
