c,f
259718,0.998335
259719,0.9982573
259720,1.001566
259721,0.99290174
259722,0.99978024
259723,1.001678
259724,0.9978731
259725,0.99885607
259726,0.9964982
259727,1.0042868
259728,0.9981584
259729,1.0003253
259730,1.0068308
259731,0.9999302
259732,1.0047529
259733,1.000125
259734,1.0036484
259735,0.9962383
259736,1.1071928
259737,1.3172638
259738,1.4081769
259739,1.2796632
259740,1.1795549
259741,1.1327858
259742,1.0918013
259743,1.074469
259744,1.0540239
259745,1.0493004
259746,1.0361555
259747,1.0330627
259748,1.0262103
259749,1.0253296
259750,1.0317963
259751,1.0276121
259752,1.0218835
259753,1.017483
259754,1.011056
259755,1.0169086
259756,1.0149398
259757,1.013762
259758,1.006526
259759,1.0081923
259760,1.0018135
259761,1.0034804
259762,1.0064881
259763,1.0076543
259764,0.99684995
259765,1.0021827
259766,1.0020598
259767,1.0009882
259768,1.0022271
259769,0.99796027
259770,0.99908227
259771,1.0032896
259772,0.9945062
259773,0.99831825
259774,0.9983605
259775,1.0083891
259776,1.0017002
259777,0.9993203
259778,1.0074153
259779,0.9973945
259780,0.9968066
259781,1.0048869
259782,1.0067211
259783,1.0023459
259784,1.0076979
259785,1.003349
259786,0.99556756
259787,0.9962588
259788,1.0006157
259789,0.99531233
259790,1.0014422
