c,f
108578,1.0044079
108579,0.96564466
108580,1.0031395
108581,0.99424237
108582,1.0113227
108583,1.0225886
108584,1.0033667
108585,1.0084203
108586,1.0068203
108587,1.0020642
108588,1.0165477
108589,1.0005077
108590,0.9886169
108591,1.0201337
108592,1.0136831
108593,1.0154153
108594,1.0037935
108595,1.0130333
108596,1.0025532
108597,0.9922938
108598,0.9929391
108599,0.98612493
108600,1.0102383
108601,0.9830732
108602,1.0064214
108603,1.0242574
108604,0.9879736
108605,0.9819985
108606,0.98807794
108607,0.98307234
108608,0.98844826
108609,0.96832633
108610,0.9802216
108611,0.9675723
108612,0.9916694
108613,0.99665105
108614,1.004272
108615,1.0070926
108616,0.9921281
108617,1.0080215
108618,0.98664856
108619,0.9908881
108620,0.9985018
108621,0.9731195
108622,1.0001879
108623,0.9909381
108624,1.0106972
108625,1.0008746
108626,0.99252236
108627,1.3028779
108628,1.1266452
108629,1.0822235
108630,1.0335054
108631,1.0562843
108632,1.0609705
108633,1.0517042
108634,1.0310277
108635,1.0092155
108636,0.99579793
108637,1.0154537
108638,1.031886
108639,1.0394226
108640,1.0307357
108641,0.97094244
108642,1.0428207
108643,1.0137805
108644,1.0073317
108645,1.0114384
108646,1.0201764
108647,1.0335971
108648,1.0164057
108649,1.0001634
108650,0.98566616
108651,0.99873835
108652,1.0355326
108653,1.0095462
108654,1.0015073
108655,1.0162956
108656,1.0027531
108657,1.0124462
108658,1.0022223
108659,0.9922591
108660,1.0184591
108661,1.0096579
108662,0.9958803
108663,1.0081518
108664,0.9995401
108665,1.0045666
108666,0.9967934
108667,1.0071982
108668,0.98786384
108669,1.0074803
108670,0.9879972
108671,0.98153746
108672,0.9983894
108673,1.0084372
108674,1.0078351
108675,1.003398
108676,1.0057125
108677,0.98955363
108678,1.0039116
108679,1.0093672
108680,0.9965019
108681,0.9690325
108682,1.0151439
108683,0.99332464
108684,1.0120683
108685,1.0032026
108686,0.99027896
108687,1.0230454
108688,0.98992413
108689,0.97970146
108690,1.0254638
108691,0.98168445
108692,1.0211233
108693,1.0113982
108694,0.97616583
108695,1.0125296
108696,1.0025294
108697,0.99435055
108698,0.9869213
108699,0.99811155
108700,1.00025
108701,0.99382514
108702,1.0003158
108703,1.005276
108704,1.0025736
108705,0.995307
108706,0.98869586
108707,1.0040692
108708,0.9776633
108709,1.0033506
108710,0.9979108
108711,1.0257406
108712,1.0183477
108713,1.0075788
108714,1.000328
