c,f
248330,1.0029526
248331,1.0183623
248332,0.99596095
248333,1.002935
248334,1.0134779
248335,1.0017213
248336,1.0139061
248337,1.0055223
248338,0.98571277
248339,1.0055696
248340,1.0082992
248341,1.0107932
248342,0.9974303
248343,0.97167856
248344,1.0079759
248345,1.0043672
248346,0.99126315
248347,1.0070385
248348,1.0026981
248349,1.0132167
248350,0.9842006
248351,1.007427
248352,0.99025565
248353,1.0032448
248354,0.9999403
248355,0.9974688
248356,0.99268925
248357,0.96413636
248358,0.9879421
248359,0.98431164
248360,1.0022186
248361,0.9895838
248362,0.98528975
248363,1.0059186
248364,1.0110852
248365,0.99315625
248366,0.990391
248367,0.96041733
248368,1.003085
248369,0.99903315
248370,0.9839379
248371,0.9863268
248372,0.9905665
248373,0.9829573
248374,0.9735941
248375,0.9917382
248376,1.0104954
248377,0.9832953
248378,1.0053349
248379,0.9785663
248380,1.0384446
248381,1.2108437
248382,1.0703483
248383,1.0946753
248384,1.1820066
248385,1.228641
248386,1.277351
248387,1.297322
248388,1.2825948
248389,1.2004354
248390,1.1430188
248391,1.13903
248392,1.1079668
248393,1.1041967
248394,1.0843095
248395,1.0824083
248396,1.0699965
248397,1.0488845
248398,1.0590627
248399,1.0315219
248400,1.0358918
248401,1.0460038
248402,1.0309917
248403,1.0187457
248404,1.0366957
248405,1.033824
248406,1.0271959
248407,0.9976982
248408,1.0172771
248409,1.0196767
248410,1.0336896
248411,1.0120953
248412,1.0241233
248413,0.9962051
248414,1.0052104
248415,1.0139236
248416,1.0078104
248417,0.9968748
248418,0.9944199
248419,0.99537945
248420,1.0051008
248421,1.0150509
248422,1.0134381
248423,1.0209409
248424,1.010326
248425,0.99714917
248426,1.014301
248427,0.99194807
248428,0.99466646
248429,1.0039922
248430,0.9872737
248431,0.99297273
248432,1.0000728
248433,1.0095177
248434,1.0061128
248435,0.99955493
248436,1.0183616
248437,1.0170852
248438,0.98094445
248439,1.001961
248440,0.9963078
248441,0.99350196
248442,0.97795594
248443,0.99819016
248444,0.9946859
248445,1.0232985
248446,1.0103096
248447,0.98791134
248448,0.9979712
248449,0.99462044
248450,0.9930656
248451,0.98208374
248452,1.0013864
248453,0.9958647
248454,1.011722
248455,1.0069534
248456,1.005853
248457,1.0040516
248458,1.0150596
248459,1.0051941
248460,0.995467
248461,0.9867216
248462,0.97905123
248463,1.0243717
248464,1.0116724
248465,0.9694325
248466,0.98849976
248467,0.982541
248468,0.9982797
248469,1.0204613
248470,1.014024
248471,1.0193835
248472,1.0133748
248473,0.9853737
248474,0.97841674
248475,0.9872309
248476,1.0163778
248477,1.0110451
248478,0.9950633
248479,0.99771214
