c,f
125684,0.99988174
125685,1.0000552
125686,0.99951017
125687,0.99963474
125688,0.99893296
125689,0.9990741
125690,0.9991075
125691,1.0004369
125693,0.9990011
125694,1.0004045
125695,0.99950665
125696,1.0005991
125697,0.9993806
125698,1.0000837
125699,1.0002241
125700,0.9987715
125701,1.0004601
125702,0.9992578
125703,1.0010276
125704,1.0004585
125705,0.99983835
125706,1.0008199
125707,0.99971515
125708,0.9993532
125709,1.0000037
125710,0.99908614
125711,0.9997995
125712,0.9994359
125713,0.999765
125714,1.0001272
125715,0.99939203
125716,1.0000128
125717,0.99981683
125718,0.9996446
125719,1.000796
125720,1.0001804
125721,0.9997569
125722,1.0004123
125723,1.0001904
125724,0.9996839
125725,1.0002085
125726,1.0000367
125727,0.9997478
125728,1.0006558
125729,1.0001117
125730,0.9999843
125731,1.0000587
125732,1.0001888
125733,1.001081
125734,1.004131
125735,1.0043604
125736,1.0022894
125737,1.0018736
125738,1.0020307
125739,1.0010282
125740,1.0008583
125741,1.0016706
125742,1.0015813
125743,1.0014527
125744,1.0013028
125745,1.0008488
125746,1.001404
125747,1.0001225
125748,1.0000861
125749,1.0002682
125750,1.0012454
125751,1.0004925
125752,0.9996783
125753,1.0003266
125754,1.0002784
125755,1.0000504
125756,1.0004833
125757,1.0001022
125758,1.0005312
125759,1.0013045
125760,1.0004443
125761,1.0012407
125762,0.99944246
125763,0.999558
125764,1.000433
125765,0.99973184
125766,1.0008494
125767,0.998979
125768,0.9995855
125769,0.99956805
125770,0.9985122
125771,0.999926
125772,0.99938893
125773,0.99956125
125774,1.0001343
125775,0.9998708
125776,1.0004926
125777,1.0000908
125778,0.99993324
125779,1.0000881
125780,0.99972624
125781,0.9998071
125782,1.0001192
125783,0.9996987
125784,0.99975914
125785,0.999892
125786,1.0003328
125787,0.9997135
125788,1.0012081
125789,1.0005592
125790,1.0008748
125791,1.001597
125792,1.001214
125793,0.9997897
125794,1.0005169
125795,1.0001957
125796,0.9998225
125797,0.9994702
125798,1.0005761
125799,0.9994579
125800,0.9997343
125801,0.99927527
125802,0.9999865
125803,0.9987269
125804,0.9998466
125805,0.9991884
125806,0.99934214
125807,0.9990041
125808,1.0000108
125809,0.9997424
125810,0.9997098
125811,0.99977213
125812,0.9998249
125813,0.99986875
125814,0.9997739
125815,0.9996313
125816,0.99945223
125817,0.99998176
