c,f
107279,0.9996527
107280,1.0025959
107281,1.0004835
107282,1.0032961
107283,0.99746454
107284,1.0007054
107285,0.9980326
107286,1.0022051
107287,1.0030515
107288,1.0028689
107289,1.0460365
107290,1.0368634
107291,1.0167689
107292,1.0100615
107293,1.011381
107294,1.0081295
107295,1.0045024
107296,1.0084903
107297,1.001251
107298,1.0017194
107299,1.0038862
107300,1.0009385
107301,0.9984498
107302,1.0018104
107303,0.99630725
107304,0.9993031
107305,1.0008293
107306,0.9993719
107307,0.99835616
107308,1.0003163
107309,0.99844944
107310,1.0007303
107311,0.99854463
107312,0.9955555
107313,0.9976103
107314,1.0029366
107315,1.000933
107316,1.000979
107317,0.996607
107318,1.0004675
107319,1.0016778
107320,1.0013102
107321,0.99927485
107322,0.99955857
107323,0.9994232
107324,0.99579006
