c,f
127515,0.9994989
127516,1.0103732
127517,1.0082887
127518,1.0004802
127519,0.99922174
127520,0.9997996
127521,0.99911654
127523,1.0013238
127524,0.99926764
127525,0.99951977
127526,1.002151
127527,1.0009652
127528,1.0008361
127529,1.0007478
127530,0.9994274
127531,0.9996327
127532,0.99947935
127533,0.9992606
127534,0.9995688
127535,0.9995032
127537,0.9993407
127538,0.99942803
127539,1.000723
127540,1.0005033
127541,0.99995065
127542,0.99996305
127543,0.99936086
127544,0.9999286
127545,0.9996491
127547,0.99903655
127548,0.9998209
127549,0.9989341
127550,0.9988193
127551,0.9996294
127552,0.99981815
127553,0.9989624
127554,0.9993445
127555,0.99861556
127556,0.9999044
127557,0.99873155
127559,0.9989851
127560,1.0002608
127563,0.9980764
127564,0.9984399
127565,1.0118026
127566,1.0186007
127567,1.0069069
127568,1.0041503
127569,1.0039716
127570,1.0033984
127571,1.0038472
127572,1.0030297
127573,1.0031798
127574,1.0021201
127575,1.0046483
127576,1.0032738
127577,1.0010995
127578,1.0020543
127580,1.0017691
127581,1.0006264
127582,1.0007647
127583,1.0005958
127584,1.0010871
127585,1.0006347
127586,1.0008632
127587,1.0001918
127588,1.0008602
127589,1.0013952
127590,1.0002816
127591,1.0000267
127592,1.0011708
127593,1.0005201
127594,0.99995416
127595,1.0000632
127596,1.000718
127597,0.9992979
127598,1.0009215
127599,1.0003282
127600,1.0011607
127601,0.99978083
127602,0.99956083
127603,1.0000554
127604,1.0000268
127605,1.0004745
127606,0.9991662
127607,1.0006417
127608,0.9992646
127609,1.000029
127610,1.0000108
127611,0.99974155
127612,0.99892724
127613,0.99967146
127614,1.0000178
127615,0.9996427
127616,1.0017105
127617,1.0004752
127618,1.0001231
127619,0.9997954
127620,1.0000952
127634,1.0009604
127635,1.0010294
127636,1.0002793
127637,1.0007427
127638,1.0003395
127639,0.9994062
127640,1.0009075
127641,1.0001659
127642,0.99905014
127643,0.9988715
127644,0.9992677
127645,0.9987453
127646,1.0002568
127647,0.99980235
127648,0.9999354
127649,1.0002468
127650,0.99997
127651,0.99996656
127652,1.0003991
