c,f
261242,0.9873254
261243,0.99605066
261244,0.99765974
261245,1.009621
261246,0.99571127
261247,1.0164679
261248,1.0178506
261249,1.0035223
261250,1.0007682
261251,0.99506533
261252,1.000214
261253,0.9940998
261254,0.9963933
261255,1.0047783
261256,0.99823844
261257,0.99590826
261258,0.98611534
261259,0.990187
261260,1.0092295
261261,0.993057
261262,0.99821746
261263,0.9725618
261264,0.98781306
261265,0.9781805
261266,0.98340535
261267,0.999423
261268,1.0012598
261269,0.9911975
261270,1.0008892
261271,0.995635
261272,1.00499
261273,0.99886805
261274,0.9566117
261275,1.0037715
261276,0.99668974
261277,1.0021231
261278,0.99256265
261279,0.9786913
261280,0.97549427
261281,0.99983734
261282,0.9904709
261283,0.9947779
261284,1.0144395
261285,1.0120137
261286,0.9873364
261287,0.9887492
261288,1.0260308
261289,1.0790544
261290,1.0631938
261291,1.0187099
261292,1.0471545
261293,1.0633222
261294,1.0466443
261295,1.0514907
261296,1.0774238
261297,1.0371524
261298,1.0532924
261299,1.0736363
261300,1.0738007
261301,1.0410728
261302,1.0513084
261303,1.0556039
261304,1.0517807
261305,1.0417845
261306,1.0520496
261307,1.0367376
261308,1.0042194
261309,1.0138572
261310,1.04538
261311,1.0226912
261312,1.019452
261313,1.0305464
261314,0.9967017
261315,1.0304675
261316,1.0458028
261317,1.0275216
261318,1.0060066
261319,0.9977504
261320,1.0365393
261321,1.0316764
261322,1.0204363
261323,1.0100085
261324,1.0061654
261325,1.012099
261326,1.0069238
261327,1.0251181
261328,1.0250305
261329,1.014321
261330,1.0161452
261331,0.99766827
261332,1.0155691
261333,0.99361473
261334,0.9913276
261335,0.9814473
261336,0.9945131
261337,1.0002702
261338,1.0023444
261339,1.0277706
261340,0.9953826
261341,1.0075532
261342,0.99113727
261343,1.0112429
261344,0.98052824
261345,1.0194452
261346,1.0066962
261347,0.9780795
261348,0.9923085
261349,0.9998965
261350,1.0083852
261351,1.0051167
261352,1.0050113
261353,0.9944347
261354,1.0076357
261355,0.9961001
261356,0.984752
261357,0.99232554
261358,1.0277635
261359,0.9894799
261360,0.9981136
261361,1.0025222
261362,0.9936901
261363,1.027313
261364,0.9909654
261365,1.0102732
261366,1.0065502
261367,0.99424314
261368,0.9875191
261369,0.9922355
261370,1.0150203
261371,1.002726
261372,0.9961476
261373,1.0009892
261374,0.9968415
261375,0.9894164
261376,1.0261598
261377,0.9823503
261378,0.984022
261379,1.0118413
261380,1.0023376
261381,1.016385
261382,0.9851705
261383,1.01563
261384,0.98671633
261385,0.98504317
261386,0.97974086
261387,1.0181161
261388,1.0061105
