c,f
143942,1.002125
143943,0.99995136
143944,0.9966467
143945,0.99717647
143946,0.99521226
143947,0.9991757
143948,1.0054665
143949,1.0061762
143950,0.99797237
143951,1.0023701
143952,0.99849427
143953,1.0016298
143954,1.0016422
143955,1.0019562
143956,0.99910414
143957,1.0012203
143958,0.9970185
143959,0.9989233
143960,1.0033933
143961,0.9980977
143962,0.99644375
143963,0.99957687
143964,0.99287456
143965,1.0035616
143966,0.9941857
143967,1.0005538
143968,0.99600625
143969,0.9995319
143970,1.0053461
143971,1.0002782
143972,1.0037302
143973,0.9977035
143974,1.0006886
143975,1.0014813
143976,1.0000236
143977,0.9990996
143978,0.9969584
143979,0.99741757
143980,0.9985723
143981,1.0040638
143982,0.9965193
143983,0.9979609
143984,0.9973686
143985,1.0004307
143986,0.99423873
143987,0.9966606
143988,0.99806464
143989,1.0015095
143990,0.99827456
143991,1.0006075
143992,1.011861
143993,1.0351425
143994,1.0202408
143995,1.0094374
143996,1.0074189
143997,1.0073688
143998,1.0096543
143999,1.0020692
144000,1.0089719
144001,1.0047352
144002,1.0094117
144003,1.0008745
144004,1.0075942
144005,1.0055223
144006,1.0007498
144007,0.99986273
144008,1.0015213
144009,1.0072855
144010,1.0023535
144011,1.0057359
144012,0.9974746
144013,1.007845
144014,1.0031503
144015,1.0037813
144016,1.0071789
144017,1.0005392
144018,1.0000168
144019,0.9998119
144020,1.0057143
144021,0.9995032
144022,0.99805886
144023,1.0013912
144024,0.9929507
144025,1.0005282
144026,0.99351454
144027,1.002256
144028,1.002197
144029,0.99768686
144030,0.995819
144031,0.99721056
144032,0.99433607
144033,1.0037997
144034,0.99991035
144035,1.0090215
144036,0.99960333
144037,0.9948215
144038,1.0024315
144039,0.9971306
144040,0.9960567
144041,1.0035027
144042,1.006736
144043,1.0026234
144044,1.0021309
144045,1.000053
144046,1.0042208
144047,1.0051807
144048,1.0113456
144049,1.0005112
144050,0.9973009
144051,0.9959827
144052,0.9966465
144053,1.0008407
144054,1.0001466
144055,0.99868375
144056,0.9984858
144057,1.0009553
144058,0.9974815
144059,0.996212
144060,1.0030222
144061,1.001995
144062,0.997305
144063,1.0009695
144064,1.0011423
144065,0.9964209
144066,1.0025802
144067,0.9955942
144068,1.0019567
144069,1.0008248
144070,1.0049087
144071,1.0054471
144072,0.9992718
144073,0.99825555
144074,1.0052292
144075,1.004013
144076,0.9993584
144077,0.99352276
144078,0.99807805
144079,1.0057821
