c,f
174843,0.9775689
174844,1.0089713
174845,0.9978907
174846,1.0214335
174847,1.0122074
174848,1.0051378
174849,1.0074414
174850,0.998394
174851,0.9999573
174852,1.029622
174853,1.0537986
174854,1.067086
174855,1.0615401
174856,1.0551128
174857,1.0699757
174858,1.0518987
174859,1.0552362
174860,1.0204204
174861,1.0390171
174862,1.0160844
174863,1.0535207
174864,1.0072682
174865,1.0339828
174866,1.0460191
174867,1.0224708
174868,1.04045
174869,1.0138655
174870,1.0150217
174871,1.0391994
174872,1.0187514
174873,1.0260928
174874,0.992932
174875,1.0282865
174876,1.0387421
174877,1.0274956
174878,1.0220007
174879,1.0183572
174880,1.01059
174881,1.007014
174882,0.98813397
174883,1.0085704
174884,0.9956668
174885,0.98648584
174886,1.0067868
174887,0.99777174
174888,1.030765
174889,0.9913889
174890,1.006703
