c,f
205319,1.014751
205320,0.97156847
205321,1.0210108
205322,1.0063844
205323,0.98247653
205324,0.985891
205325,1.0072982
205326,0.97710055
205327,0.99418914
205328,0.99955803
205329,1.015717
205330,1.0098525
205331,0.99765533
205332,0.98817563
205333,0.9954844
205334,0.9883523
205335,0.9937055
205336,0.9886944
205337,1.0172998
205338,1.0222842
205339,1.0031894
205340,1.0080853
205341,0.97554773
205342,1.0009573
205343,0.98698545
205344,0.99246556
205345,1.0186183
205346,1.0137657
205347,1.0152662
205348,1.0005047
205349,1.0000328
205350,0.9757777
205351,0.9839839
205352,1.005555
205353,0.9998338
205354,0.9912443
205355,0.9891281
205356,0.9979837
205357,0.9894907
205358,0.99726737
205359,1.0267035
205360,0.9998122
205361,0.99144185
205362,1.0231916
205363,1.0011259
205364,0.9913521
205365,1.000702
205366,1.01331
205367,1.0009314
205368,1.0038239
205369,1.1739382
205370,1.2376449
205371,1.0799222
205372,1.054569
205373,1.0204978
205374,1.032806
205375,1.021452
205376,1.0111421
205377,1.0285167
205378,1.0103698
205379,1.0043955
205380,0.99991894
205381,0.9996293
205382,1.0214615
205383,1.0020672
205384,1.0186435
205385,0.99517894
205386,0.99593264
205387,1.0307606
205388,1.0075828
205389,0.99835175
205390,1.006379
205391,0.984814
205392,1.0024724
205393,1.0040194
205394,0.98973083
205395,0.99080634
205396,1.0010035
205397,0.9942089
205398,0.99576896
205399,0.98716706
205400,0.97616506
205401,1.0280225
205402,1.0042086
205403,1.006156
205404,1.014667
205405,0.9886584
205406,1.0184742
205407,1.0168113
205408,0.9954719
205409,1.0084014
205410,0.9939016
205411,0.98638386
205412,0.9613079
205413,1.0167738
205414,0.9685523
205415,1.0044239
205416,1.0172961
205417,0.9904588
205418,1.0118568
205419,1.014098
205420,1.0010346
205421,0.99871355
205422,1.001405
205423,0.97486603
205424,0.99870014
205425,1.0028837
205426,0.9954587
205427,1.0093018
205428,1.0152559
205429,0.9893716
205430,1.0120938
205431,1.0179045
205432,0.98670506
205433,1.0334582
205434,0.98901045
205435,0.99936116
205436,1.0017638
205437,0.9814412
205438,0.9892959
205439,1.0004803
205440,0.99787045
205441,0.9928347
205442,1.0220103
205443,1.0132521
205444,1.0049416
205445,0.99676955
205446,0.9926866
205447,0.9876421
205448,0.99225515
205449,0.9986515
205450,1.0167762
205451,0.9877477
205452,1.0197294
