c,f
194440,1.0054004
194441,0.99541205
194442,0.9934895
194443,0.98770255
194444,1.007526
194445,0.99480045
194446,1.0152975
194447,0.9942255
194448,1.0094904
194449,1.0024357
194450,0.9962406
194451,0.9985254
194452,0.9976554
194453,0.9928742
194454,0.9946135
194455,1.0034747
194456,1.0073842
194457,0.999906
194458,1.007732
194459,0.99151504
194460,0.9934011
194461,1.0036696
194462,1.0017937
194463,0.9987893
194464,0.99429923
194465,0.99706954
194466,1.0062894
194467,1.0035579
194468,0.9883792
194469,1.0009708
194470,0.99529606
194471,1.0016977
194472,1.0146582
194473,1.0056224
194474,0.99936837
194475,1.0048215
194476,1.0075734
194477,0.9918473
194478,1.0149356
194479,0.9991971
194480,0.99907446
194481,1.0046852
194482,0.99794763
194483,0.99797803
194484,0.99142927
194485,1.0004052
194486,0.98754984
194487,0.9865243
194488,1.0001793
194489,1.0018436
194490,1.0479431
194491,1.1665677
194492,1.0344547
194493,1.002215
194494,1.0081348
194495,1.0100557
194496,1.0118252
194497,1.0002021
194498,0.99653053
194499,0.9974964
194500,0.993243
194501,1.0004689
194502,0.9950997
194503,0.989693
194504,1.0140446
194505,1.0000789
194506,0.9929987
194507,1.0037942
194508,0.994987
194509,0.9974859
194510,1.0007133
194511,1.0014219
194512,1.0038848
194513,1.0037866
194514,1.0037353
194515,1.0155813
194516,0.99779147
194517,1.0005853
194518,1.0056903
194519,1.0028796
194520,0.98806727
194521,1.0099577
194522,1.001478
194523,1.0007367
194524,1.0099664
194525,1.006074
194526,0.9950308
194527,0.99872315
194528,0.99651504
194529,0.9990879
194530,1.0017074
194531,0.9973884
194532,0.99104613
194533,0.9959681
194534,0.99069965
194535,1.0104806
194536,0.9948822
194537,0.99814403
194538,0.9936545
194539,0.99365777
194540,0.9984215
194541,0.9941554
194542,0.9910704
194543,1.0033046
194544,1.0016403
194545,1.0117711
194546,0.996943
194547,1.0020599
194548,1.0035931
194549,0.99874824
194550,0.9979122
194551,1.0045446
194552,1.0010169
194553,1.0071001
194554,1.0086958
194555,1.015884
194556,1.006055
194557,0.99644315
194558,0.9989725
194559,0.99958503
194560,1.0093392
194561,0.99288076
194562,0.9931949
194563,0.99978125
194564,1.0012512
194565,0.9858218
194566,1.0024551
194567,0.99774
194568,0.9979269
194569,0.98406315
194570,0.998961
194571,1.0003071
194572,0.99015313
194573,1.0063058
