c,f
152627,1.0390588
152628,1.0261549
152629,1.0357141
152630,1.0187755
152631,1.0076147
152632,1.0328149
152633,1.0350019
152634,1.0360892
152635,1.0268669
152636,1.0312533
152637,1.121363
152638,1.0470984
152639,1.0473136
152640,1.0162326
152641,1.0249803
152642,1.0273936
152643,1.0282755
152644,1.0208764
152645,1.0112351
152646,1.024326
152647,1.0230407
152648,1.0115304
152649,1.0267751
152650,1.0134045
152651,0.99312526
152652,0.9882046
152653,1.0009294
152654,0.9831574
152655,1.0028992
152656,0.9878131
152657,0.9942975
152658,0.9919411
152659,0.9957984
152660,1.0021727
152661,1.0137233
152662,1.0008242
152663,0.9787374
152664,1.00297
152665,1.007166
152666,0.98567116
152667,1.0015811
152668,1.0160933
152669,0.9967318
152670,0.9969985
