c,f
115173,0.9992195
115174,0.9999186
115175,0.99933
115176,0.9991743
115177,0.9986087
115178,1.0000619
115179,0.99889153
115180,0.99984074
115181,0.99876916
115182,1.0291121
115183,1.0574659
115184,1.0180418
115185,1.0114803
115186,1.0099092
115187,1.0063982
115188,1.0055847
115189,1.0042021
115190,1.0031906
115191,1.002179
115192,1.0028436
115193,1.0012425
115194,1.0021359
115195,1.002313
115196,1.0026712
115197,1.0014005
115198,1.0008649
115199,1.0019861
115200,1.0003116
115201,1.0005349
115202,1.0004054
115203,1.0006245
115204,1.0002353
115205,0.999725
115206,1.0032163
115207,1.0022821
115208,1.0015315
115209,1.0012985
