c,f
312154,0.99401855
312155,0.98450786
312156,0.98975635
312157,0.9946566
312158,0.9950151
312159,1.0000455
312160,0.99711895
312161,0.9973465
312162,0.9932665
312163,0.99996394
312164,0.9743658
312165,1.0023572
312166,0.9992179
312167,0.9950927
312168,0.9962001
312169,0.99314034
312170,0.9840198
312171,0.9987744
312172,0.9751213
312173,0.98600006
312174,0.9933889
312175,0.989102
312176,0.9974769
312177,0.98683226
312178,0.99729556
312179,1.0229838
312180,1.6785446
312181,1.2253802
312182,1.1057991
312183,1.0661286
312184,1.057822
312185,1.0514207
312186,1.0189154
312187,1.0278248
312188,1.021872
312189,1.0122769
312190,1.022987
312191,1.0031118
312192,1.012501
312193,1.0032569
312194,1.003776
312195,0.99701345
312196,1.0065404
312197,1.0046946
312198,0.9994206
312199,1.0126469
312200,0.9988712
312201,1.0088603
312202,1.0059992
312203,1.019137
312204,1.0268229
312205,1.0329655
312206,1.0298849
312207,1.0183944
312208,1.0222803
312209,1.0186149
312210,1.0311947
312211,1.0291821
312212,1.03316
312213,1.045232
312214,1.0237695
312215,1.0162311
312216,1.030544
312217,1.0402068
312218,1.042494
312219,1.0411543
312220,1.0361216
312221,1.0404649
312222,1.0444146
312223,1.0431652
312224,1.0679117
312225,1.0638356
312226,1.0514163
312227,1.0497376
312228,1.0481784
312229,1.0563794
312230,1.051885
312231,1.0350806
312232,1.0309504
312233,1.0353807
312234,1.0258722
312235,1.1022888
312236,1.0901077
312237,1.0549834
312238,1.0390054
312239,1.0352292
312240,1.0331281
312241,1.0224254
312242,1.027605
312243,1.0180144
312244,1.0058242
312245,1.0224621
312246,1.0135574
312247,1.0061173
312248,1.0147282
312249,1.0155568
312250,1.0087258
312251,1.0255294
312252,1.0091714
312253,1.0161242
312254,1.0130038
312255,1.0168165
312256,1.013124
312257,1.0052332
312258,1.0244255
312259,1.0061436
312260,1.0099493
312261,1.0043344
312262,1.0053254
312263,1.0016519
312264,1.0052801
312265,1.0095029
312266,1.0027065
312267,1.0079551
312268,1.0017834
312269,1.0113724
312270,1.0157529
312271,0.999984
312272,1.0050083
312273,0.99196595
312274,0.99418277
312275,1.0007186
312276,1.0075288
312277,1.0012141
312279,1.0074357
312280,0.9905642
312281,1.0072832
312282,1.0023118
312283,1.0081133
312284,1.0073872
312285,0.99331975
312286,0.9955629
312287,0.98576707
312288,0.99648046
312289,0.99490106
312290,0.9943387
312291,1.0032609
312292,1.0089473
312293,0.9999397
312294,1.0068101
312295,1.0043992
312296,0.9911237
312297,1.0032978
312298,1.0071083
312300,1.0067929
312301,1.0021628
312302,0.9958174
312303,0.99673444
312304,0.9963121
312305,0.99629986
312306,1.0045466
312307,1.0043471
312308,1.003317
312309,1.006459
312310,0.99890673
312311,0.997849
312312,0.98601156
312313,0.9940388
312314,1.0140282
312315,1.0026826
312316,0.9989051
312317,0.9974743
312318,0.9934853
312319,1.000561
312320,0.9850336
312321,1.0043954
