c,f
306137,0.99732316
306138,0.9980156
306139,0.99794155
306140,0.9994771
306141,0.9986981
306142,1.0068561
306143,0.9976829
306144,0.99801695
306145,1.0021929
306146,0.99886584
306147,0.997482
306148,0.99923307
306149,0.99346477
306150,0.99591845
306151,1.6707565
306152,1.5226605
306153,1.1832826
306154,1.1068892
306155,1.0841504
306156,1.0690932
306157,1.0696198
306158,1.0586251
306159,1.049101
306160,1.0490664
306161,1.0412102
306162,1.0389996
306163,1.0431608
306164,1.0223593
306165,1.0283799
