c,f
92752,0.9980938
92753,0.99646163
92754,0.9998334
92755,1.0029231
92756,0.9923902
92757,0.99927133
92758,1.0010533
92759,0.99740666
92760,1.0033722
92761,1.0029936
92762,0.9960486
92763,0.9982836
92764,0.999669
92765,1.0068026
92766,0.993879
92767,0.9959643
92768,0.9962664
92769,1.0029984
92770,0.9892878
92771,1.0011586
92772,1.0009056
92773,1.002511
92774,1.000531
92775,1.0014077
92776,1.001836
92777,0.9900679
92778,1.0007013
92779,0.99467695
92780,0.98717034
92782,0.9990856
92783,0.9908893
92784,0.9937185
92785,0.99783486
92786,0.9980896
92787,0.9985922
92788,0.9971614
92789,0.9944383
92791,0.9964997
92792,1.008203
92793,1.0069622
92794,1.0027637
92795,0.98247385
92796,1.0025157
92797,0.9986068
92798,0.99624485
92799,0.99655336
92800,0.9969554
92801,1.01118
92802,1.2868297
92803,1.1458429
92804,1.0964549
92805,1.0964049
92806,1.085607
92807,1.0769721
92808,1.0742003
92809,1.0524244
92810,1.05043
92811,1.0481254
92812,1.033164
92813,1.0372285
92814,1.0373547
92815,1.031291
92816,1.0271354
92817,1.019879
92818,1.0290287
92819,1.023219
92820,1.0219084
92821,1.0261561
92822,1.0286152
92823,1.0229195
92824,1.0210695
92825,1.022733
92826,1.0172424
92827,1.0224897
92828,1.0178968
92829,1.0197054
92830,1.0099576
92831,1.0178319
92832,1.0059289
92833,1.0085201
92834,1.0125117
92835,1.0090141
92836,1.0154469
92837,1.0083301
92838,1.0167394
92839,1.0090837
92840,1.0103204
92841,0.9994023
92842,1.0082798
92843,1.0097257
92844,1.0041627
92845,1.0069202
92846,0.99751276
92847,1.0134015
92848,0.9959844
92849,1.0022827
92850,1.0029776
92851,1.0031495
92852,1.0028038
92853,1.0068748
92854,1.0069208
92855,1.0039098
92856,1.0040894
92857,1.0020744
92858,1.0029205
92859,0.99915713
92860,1.0071837
92861,1.0052764
92862,0.9971326
92863,1.008633
92864,0.9944193
92865,1.0033789
92866,1.0091472
92867,1.0045551
92868,1.0048735
92869,0.99893594
92870,0.99600863
92871,0.99800706
92872,1.0013753
92873,1.002875
92874,0.99802876
92875,1.0012006
92876,0.99571353
92877,0.9926944
92878,0.9967372
92879,1.0011249
92880,0.9970381
92881,0.99610317
92882,0.99901384
92883,0.99113935
92884,1.0044148
92885,1.0013773
92886,1.002067
92887,0.99482214
92888,0.9994283
92889,1.0002266
92890,0.9974672
92891,0.99623007
92892,1.0019351
92893,0.9965693
92894,1.0048352
92895,0.9992826
92896,0.9995824
92897,1.010316
92898,0.98996824
92899,1.0043094
92900,1.0133966
92901,0.99854004
92902,0.99954957
92903,1.0030551
92904,0.9933259
92905,0.99481964
92906,1.0080448
92907,0.9958967
92908,0.9979988
92909,1.002172
92910,0.9882234
