c,f
291554,1.0005761
291555,1.000392
291556,0.9999017
291557,0.99981016
291558,1.0002476
291559,0.9997623
291560,0.99975944
291561,0.99957603
291562,1.0000944
291563,0.9982897
291564,0.9998061
291565,0.9997487
291566,0.9996459
291567,0.9985964
291568,1.0001805
291569,1.0004132
291570,0.99919
291571,1.0001209
291572,1.0003332
291573,0.9992055
291574,1.0000852
291575,1.00096
291576,0.99992466
291577,1.0004221
291578,1.0001534
291579,1.0002087
291580,0.99974805
291581,1.0008264
291582,0.9994425
291583,1.0001764
291584,1.000363
291585,1.0014246
291586,1.0004088
291587,0.9997553
291588,1.0002066
291589,0.9998951
291590,0.99972546
291591,0.9988595
291592,1.0002656
291593,0.999864
291594,1.0015823
291595,1.0000092
291596,0.9990891
291597,0.99929273
291598,0.9996555
291599,1.0001631
291600,0.99992067
291601,1.0004175
291602,1.0002888
291603,1.0001569
291604,1.0030781
291605,1.002799
291606,1.0025674
291607,1.0024964
291608,1.0009903
291609,1.0011547
291610,1.0023421
291611,1.0009252
291612,0.9995447
291613,1.001676
291614,1.001056
291615,1.0014057
291616,0.99959165
291617,1.0000777
291618,0.9986919
291619,1.0009207
291620,0.9994058
291621,0.9990282
291622,1.0001639
291623,0.99909
291624,1.0007151
291625,0.9989906
291626,1.0002023
291627,0.9999454
291628,0.9992318
291629,1.0054283
291630,1.0017439
291631,0.9999539
291632,1.0000461
291633,1.0002863
291634,1.0003238
291635,1.0004325
291636,0.9991135
291637,0.99912375
291638,0.9988978
291639,0.99948114
291640,0.99763876
291641,0.99779606
291642,1.0000347
291643,1.0000877
291644,0.99983174
291645,1.0003787
291646,0.99954355
291647,0.99955606
291648,0.99924576
291649,0.99712044
291650,0.99897873
291651,0.9985168
291652,0.9990533
291653,0.99940217
291654,0.9986315
291655,1.0001916
291656,0.99960554
291657,0.99985296
291658,1.0002117
291659,0.9994937
291660,0.9981372
291661,0.9992298
291662,0.9997714
291663,0.99933946
291664,0.9985989
291665,0.9984671
291666,0.9996158
291667,1.000366
291668,0.9994329
291669,0.998408
291670,0.99795544
291671,0.9988292
291672,0.99889725
291673,0.9992992
291674,0.9972746
291675,0.99813944
291676,0.9981999
291677,0.99839354
291679,0.99567443
291680,0.99855417
291681,0.9985965
291682,0.99901193
291683,0.99908274
291684,0.99808675
291685,0.99985087
291686,0.9990383
291687,0.9999603
291688,0.9996233
