c,f
291201,0.99988496
291202,1.0052874
291203,1.007871
291204,1.0034876
291205,1.0046937
291206,1.0011734
291207,0.9901529
291208,1.0038657
291209,1.002497
291210,1.0039545
291211,1.0007198
291212,1.0024878
291213,0.99656844
291214,0.9938851
291215,0.9952076
291216,1.0000796
291217,0.99047893
291219,0.9963961
291220,0.9996486
291221,1.0002724
291222,1.0038712
291223,0.9979379
291224,1.0010067
291225,0.991318
291226,1.0060761
291227,0.996264
291228,0.9977127
291229,0.9987965
291230,0.99976164
291231,0.99820054
291232,1.0041739
291233,0.9980998
291234,0.98987764
291235,1.0046026
291236,1.0034301
291237,1.0015327
291238,0.99265873
291239,0.9950629
291240,1.0056833
291241,1.0018415
291242,1.003908
291243,1.0038356
291244,1.0004398
291245,0.9941096
291246,1.0012524
291247,1.0047498
291248,1.0036038
291249,0.99013466
291250,1.0042213
291251,1.0359143
291252,1.0385945
291253,1.0236939
291254,1.0199448
291255,1.0101987
291256,1.0135756
291257,1.0069685
291258,1.0030395
291259,1.0013077
291260,0.99932706
291261,0.9993019
291262,1.0006721
291263,1.005483
291264,1.003236
291265,0.99854815
291266,1.0001712
291267,0.9871819
291268,1.0025692
291269,1.0092384
291270,0.9956706
291271,0.99036056
291272,0.99849075
291273,0.99866164
291277,0.9989792
291279,1.0057563
291280,0.9966407
291281,0.9985933
291282,1.0047897
291283,0.995343
291284,1.0100595
291285,0.98567724
291286,1.0041648
291287,0.99536496
291288,1.0053297
291289,0.99373764
291290,0.9991534
291291,1.0082705
291292,0.99706125
291293,1.0018275
291294,1.0045915
291295,0.9950199
291296,1.0016199
291297,1.0004205
291298,1.0011613
291299,1.0007639
291300,0.99662715
291301,0.9914895
291302,1.0030482
291303,0.99795586
291304,0.9888434
291305,1.0023639
291306,1.001532
291307,1.0027939
291308,0.9988414
291309,0.99904877
291310,1.0009726
291311,1.0011784
291312,1.0008506
291313,0.9976933
291314,1.0020611
291315,0.9948751
291316,0.99685067
291317,0.9943944
291318,1.0029864
291319,0.9945272
291320,1.0001891
291321,0.9978096
291322,0.99791366
291323,0.9971028
291324,1.0085266
291325,0.9970132
291326,1.003872
291327,0.9943369
291328,1.0027529
291330,1.0013002
291331,1.0030013
291332,1.0013112
291333,1.0012764
291334,1.0057131
291335,1.0053215
