c,f
99456,0.99101084
99457,0.99154973
99458,0.99082637
99459,1.0045632
99460,0.99335337
99461,0.99391896
99462,0.99244654
99463,1.0040572
99464,0.9945575
99465,1.0080335
99466,1.0266557
99467,1.0865015
99468,1.0477248
99469,1.0518744
99470,1.0497344
99471,1.0276042
99472,1.0383382
99473,1.0108234
99474,1.0191513
99475,1.0144203
99476,1.0102077
99477,1.0052922
99478,1.014265
99479,1.0124521
99480,1.0114558
99481,1.0160767
99482,1.0077319
99483,1.0130934
99484,1.0054847
99485,0.997178
99486,1.0044142
99487,1.0082842
99488,1.0044599
99489,0.99891424
99490,0.9989552
99491,1.0014123
99492,1.0025643
99493,1.0021646
99494,1.0017643
99495,1.0033516
99496,1.0146078
99497,1.002412
99498,1.0034108
99499,0.99420184
99500,1.0063895
99501,1.0078256
99502,1.001582
99503,1.0051999
