c,f
126601,1.000294
126602,1.0002639
126603,0.99965215
126604,1.0006654
126605,0.99993914
126606,1.0000874
126607,0.99923927
126608,0.99948835
126609,1.0007545
126610,1.0001638
126611,0.99992657
126612,0.9997363
126613,1.0009226
126614,0.9990966
126615,1.0006467
126616,1.0010188
126617,1.0007893
126618,0.9997465
126619,1.0005224
126620,1.0002815
126621,1.000136
126622,1.0013168
126623,1.0003468
126624,1.0001022
126625,1.0006615
126626,1.0008876
126627,1.000291
126628,0.9996613
126629,1.0007734
126630,1.0008906
126631,1.0007398
126632,1.0000536
126633,1.000013
126634,1.00098
126635,1.0003777
126636,1.0002809
126637,1.0006897
126638,1.0004061
126639,1.0006658
126640,1.001034
126641,1.0027059
126642,1.0010551
126643,1.000494
126644,1.0008276
126645,1.0012687
126646,1.0012091
126647,1.0011227
126648,1.0010048
126649,1.0049031
126650,1.0010612
126651,1.0018007
126652,1.0019335
126653,1.0021173
126654,1.0013283
126655,1.0015849
126656,1.0018268
126657,1.0016154
126658,1.0007373
126659,1.0013368
126660,1.00087
126661,1.0030717
126662,1.0017512
126663,1.0002407
126664,0.99952656
126665,1.0000412
126666,0.9998104
126667,0.99984425
126668,0.9993872
126669,0.998495
126670,0.9998291
126671,0.99875736
126672,0.99909747
126673,0.9992795
126674,0.9983333
126675,1.0000935
126676,0.999251
126677,0.9995471
126678,0.998363
126679,0.9991555
126680,0.9993054
126681,0.9990349
126682,0.99988484
126683,0.99947304
126684,1.0002395
126685,0.999547
126686,0.999382
126687,1.0010575
126688,1.0003328
126689,1.0000774
126690,1.0014788
126691,1.0002693
126692,0.9998164
126693,0.9999637
126694,1.0016243
126695,1.0004998
126696,1.000056
126697,1.0007771
126698,1.0003413
126699,1.0005014
126700,1.0001221
126701,0.99979013
126702,1.0002683
126703,1.0001569
126704,1.0004957
126705,0.998605
126706,0.9994711
126707,0.9999624
126708,0.9991543
126709,0.99998534
126710,0.9998388
126711,0.9996212
126712,0.9996366
126713,1.0002422
126714,0.99998623
126715,0.9999165
126716,1.0004174
126717,0.99896985
126718,0.9997797
126719,0.9988652
126720,0.9997351
126721,0.9999666
126722,0.9998727
126723,1.0008612
126724,1.0001539
126725,0.99912226
126726,0.9998158
126727,1.0003182
126728,1.0001451
126729,1.0010557
126730,1.0002906
126731,1.0000807
126732,0.99996674
126734,1.000671
