c,f
159420,1.0012689
159421,0.9986511
159422,0.9984647
159423,0.9939171
159424,1.000917
159425,0.9993245
159426,1.0027606
159427,1.0027992
159428,1.0025642
159429,1.0017772
159430,1.0004423
159431,1.0011835
159432,1.0005021
159433,0.99915737
159434,1.0011483
159435,0.9994733
159436,0.9979525
159437,1.000718
159438,1.0003799
159439,0.9992375
159440,0.9996965
159441,1.0000987
159442,1.0011466
159443,0.99803555
159444,0.99859965
159445,1.0010127
159446,0.99828595
159447,1.0000676
159448,1.000259
159449,0.99815786
159450,1.0028679
159451,0.9990535
159452,0.99517447
159453,0.9967856
159454,1.0008261
159455,0.9994871
159456,1.0000322
159457,0.997355
159458,1.0036495
159459,1.0007048
159460,1.0028831
159461,1.0026016
159462,0.99467367
159463,1.0004827
159464,0.9958513
159465,0.9977752
159466,0.99738634
159467,1.0017407
159468,1.0015881
159469,0.999995
159470,1.0188757
159471,1.0166814
159472,1.011869
159473,1.0078927
159474,1.0102226
159475,1.0085319
159476,1.0023072
159477,1.0101001
159478,1.0022448
159479,1.0048734
159480,1.0025314
159481,1.0011015
159482,1.0057853
159483,1.0015306
159484,1.0018194
159485,1.006813
159486,0.9974782
159487,1.0012288
159488,1.0003018
159489,1.0017562
159490,1.0003026
159491,1.0038054
159492,1.0017428
159493,0.99582654
159494,0.9977189
159495,1.0022639
159496,1.0030576
159497,1.0022006
159498,1.0058001
159499,1.0004612
159500,0.99892586
159501,1.00212
159502,1.0014919
159503,1.0026833
159504,0.99766
159505,1.0001819
159506,0.9996328
159507,1.0001935
159508,0.9973809
159509,1.0011221
159510,0.9950525
159511,1.000383
159512,0.9964852
159513,0.9976792
159514,1.0038049
159515,1.0000753
159516,1.0001141
159517,1.0017335
159518,0.99815786
159519,1.0015721
159520,0.99597657
159521,1.00254
159522,1.0008707
159523,0.9976373
159524,0.997608
159525,1.0006684
159526,1.0009179
159527,1.0019401
159528,0.99652076
159529,1.0007839
159530,1.0028038
159531,1.0007352
159532,1.0033572
159533,0.99461055
159534,0.9974022
159535,1.0040457
159536,0.9994378
159537,1.0012743
159538,0.99871343
159539,0.9970664
159540,1.0065086
159541,1.0010905
159542,1.0000616
159543,1.0006148
159544,1.0029285
159545,0.9998253
159546,0.997682
159547,1.0000708
159548,1.0055459
159549,0.9957586
159550,0.99963075
159551,1.0007075
159552,0.99916416
159553,1.0007963
