c,f
233548,1.000353
233549,0.99758446
233550,1.0025393
233551,1.0059953
233552,1.0021286
233553,1.0012196
233554,1.0032065
233555,1.0027802
233556,1.0019195
233557,1.0068735
233558,1.0239278
233559,1.0171758
233560,1.0176917
233561,1.008085
233562,1.0054829
233563,1.0045285
233564,1.0013294
233565,1.0020972
233566,1.0037998
233567,1.0044098
233568,1.0042883
233569,1.0012591
233570,1.002028
233571,1.0013049
233572,0.99747056
233573,1.0053351
233574,0.99850315
233575,1.0018971
233576,0.9959813
233577,1.0025578
233578,1.0009149
233579,1.0015249
233580,0.9969016
233581,1.0027084
233582,0.9973251
233583,0.9988173
233584,1.0014112
233585,0.9977108
233586,0.99654955
233587,0.99556816
233588,1.0031474
233589,0.9976042
233590,1.0021722
233591,0.99733037
