c,f
74549,0.9947445
74550,1.0024381
74551,0.9999435
74552,1.0045681
74553,0.9957095
74554,1.0072207
74555,1.0008122
74556,0.9979349
74557,0.9911293
74558,1.007555
74559,1.0008898
74560,1.0074146
74561,0.99788857
74562,1.0028132
74563,1.0000451
74564,0.99773884
74565,0.9984001
74566,0.9981191
74567,0.9907601
74568,0.9980134
74569,0.9961428
74570,0.98840153
74571,0.99516505
74572,0.9916788
74573,0.99920994
74574,1.0003203
74575,0.99176973
74576,1.0016202
74577,0.99275607
74578,0.9985472
74579,0.985815
74580,0.9976465
74581,0.9954797
74582,0.9885259
74583,1.0013111
74584,0.992459
74585,0.9958359
74586,1.002026
74587,1.0015799
74588,1.0063097
74589,0.9952127
74590,0.99867654
74591,0.9995535
74592,1.0045186
74593,1.0017111
74594,1.0004529
74595,0.99537444
74596,0.9927526
74597,0.99096286
74598,1.007344
74599,1.1014258
74600,1.2499098
74601,1.1157088
74602,1.0603437
74603,1.0486685
74604,1.0348581
74605,1.0237641
74606,1.028292
74607,1.0218644
74608,1.0227109
74609,1.0159819
74610,1.0135229
74611,1.0201029
74612,1.010348
74613,1.0003685
74614,1.0084637
74615,1.0034771
74616,0.9990828
74617,1.0047256
74618,1.0123698
74619,1.0034288
74620,1.0108737
74621,1.0014426
74622,1.0028688
74623,1.004066
74624,1.0071465
74625,0.99923676
74626,1.0015231
74627,0.9967938
74628,1.0005498
74629,0.99805194
74630,0.9946216
74631,1.0075939
74632,0.9998787
74633,1.0043502
74634,1.0078183
74635,1.006477
74636,0.9915047
74637,1.0029145
74638,1.0133811
74639,1.0010915
74640,1.0001352
74641,0.9983352
74642,0.9967028
74643,0.99705106
74644,1.0049995
74645,0.9925631
74646,1.003573
74647,0.99814975
74648,0.9992477
74649,0.9997605
74650,0.9957752
74651,0.9986439
74652,1.0002096
74653,0.9933018
74654,1.0056002
74655,1.0073634
74656,0.99894685
74657,0.99196106
74658,1.0005767
74659,0.9985059
74660,1.0019162
74661,0.996217
74662,0.9989272
74663,1.0057939
74664,1.010183
74665,1.0004448
74666,0.99659634
74667,0.9923158
74668,0.99929845
74669,0.9997901
74670,0.99902093
74671,0.99455446
74672,0.99773836
74673,1.0101283
74674,1.0045803
74675,1.0001527
74676,1.002871
74677,0.9962651
74678,1.0066493
74679,0.9979535
74680,1.0006071
74681,0.9926178
74682,0.9922719
74683,0.9972803
74684,1.0034742
74685,1.0100938
74686,0.99634373
74687,1.0009079
74688,1.005187
74689,0.99365026
74690,1.0013131
74692,1.0029947
