c,f
298093,0.9988715
298094,0.9994289
298095,0.9921712
298096,0.9962165
298097,0.9926982
298098,0.99624693
298099,0.9961485
298100,1.0123233
298101,0.9940415
298102,0.99355704
298103,0.9858301
298104,1.0163794
298105,0.99632585
298106,0.9964547
298107,0.99815917
298108,0.9812452
298109,0.9996635
298110,0.9892055
298111,0.996829
298112,0.9900585
298113,0.99672765
298114,0.9949774
298115,0.9942941
298116,1.0047328
298117,1.0004686
298118,0.994241
298119,0.99253875
298120,0.9917623
298121,0.9954936
298122,1.0006975
298123,0.99613786
298124,1.0005695
298125,0.98597574
298126,1.0016416
298127,0.99115616
298128,0.9986449
298129,0.99649364
298130,0.99863416
298131,1.0019561
298132,0.99338394
298133,0.9989658
298134,1.0008893
298135,0.9977778
298136,0.9941371
298137,0.9936062
298138,0.99913764
298139,1.0010806
298140,0.9946401
298141,1.0060625
298142,1.0083936
298143,1.0235862
298144,1.0441236
298145,1.0533335
298146,1.0318655
298147,1.031753
298148,1.0285586
298149,1.0237547
298150,1.0214877
298151,1.0084362
298152,1.0209646
298153,1.025499
298154,1.0203214
298155,1.0207484
298156,1.0096226
298157,1.0174835
298158,1.005685
298159,1.0209461
298160,1.0041438
298161,0.9902417
298162,1.0231754
298163,1.0154597
298164,1.0105846
298165,1.0074046
298166,0.9930748
298167,1.0033841
298168,1.0003642
298169,1.004344
298170,1.0049499
298171,1.0105147
298172,1.0021061
298173,1.0049206
298174,1.0102524
298175,1.0006326
298176,1.0022583
298177,1.0035675
298178,1.0064441
298179,1.0052722
298180,1.0215749
298181,0.9973565
298182,1.0058483
298183,0.9982757
298184,1.0003312
298185,1.0047078
298186,0.9930153
298187,1.0025693
298188,1.0050522
298189,0.99365354
298190,1.0045806
298191,0.9990449
298192,1.0053862
298193,0.9935365
298194,1.012811
298195,0.9974203
298196,1.0042301
298197,0.99349344
298198,1.0019565
298199,0.9841541
298200,1.002701
298201,1.0075648
298202,0.9941819
298203,0.9914521
298204,1.0051585
298205,1.002579
298206,0.9984014
298207,0.9848396
298208,0.99274874
298209,0.9954748
298210,1.0007793
298211,0.9915119
298212,0.99610615
298213,0.99914455
298214,1.0213403
298215,0.99283576
298216,0.9998101
298217,0.9961576
298218,0.9926497
298219,0.9979011
298220,1.0010014
298221,0.9918396
298222,1.0009716
298223,0.98013306
298224,0.9960759
298225,1.0047204
298226,0.98565817
298227,0.99202615
298228,0.9920099
298229,0.99521565
298230,0.99975276
298231,1.0040023
298232,1.0071808
298233,1.0025375
298234,1.0032645
298235,0.9982069
298236,1.0009949
298237,0.9911995
298238,0.9910001
