c,f
240392,0.9983092
240393,0.9988171
240394,0.99879766
240395,0.9968089
240396,1.0001036
240397,1.0030085
240398,1.0006299
240399,0.99891496
240400,0.9963989
240401,0.9984823
240402,1.0321306
240403,1.1174943
240404,1.0982729
240405,1.0725425
240406,1.0425473
240407,1.0273436
240408,1.0186374
240409,1.0184051
240410,1.0148927
240411,1.0111539
240412,1.0120535
240413,1.010471
240414,1.0066314
240415,1.0076138
240416,1.0045826
240417,1.0034428
240418,1.0047182
240419,1.0093853
240420,1.0039091
240421,1.000586
240422,1.0022261
240423,1.0011383
240424,1.0041361
240425,1.0002794
240426,1.0033144
240427,0.99963063
240428,0.99942935
240429,1.0024427
240430,1.0030437
240431,1.0056801
240432,1.0020921
240433,1.0007107
240434,0.99751765
240435,0.99895155
240436,0.99555284
240437,1.0015072
240438,0.9984798
240439,1.0000261
240440,1.000116
240441,1.000863
240442,0.99596125
240443,0.9967799
240444,0.99842584
