c,f
182172,0.9884621
182173,0.9755753
182174,0.9803384
182175,1.0137974
182176,1.0069424
182177,0.9990433
182178,1.011023
182179,1.0083696
182180,1.0005983
182181,1.0170952
182182,0.99186194
182183,0.9978477
182184,0.9864915
182185,1.0216395
182186,1.0053539
182187,0.99387044
182188,0.98592514
182189,0.98741835
182190,0.9888627
182191,1.006762
182192,1.0181223
182193,0.99288106
182194,0.97946787
182195,0.9735478
182196,1.0196993
182197,0.99746615
182198,1.0080587
182199,0.9964149
182200,0.99706286
182201,1.0067452
182202,0.9975204
182203,1.0134314
182204,0.9951454
182205,0.99097
182206,1.0260016
182207,0.9654651
182208,0.9761384
182209,0.97293025
182210,1.0334249
182211,1.0034943
182212,0.9999352
182213,1.0143025
182214,0.9972045
182215,1.0010238
182216,1.0182108
182217,1.0141896
182218,0.99088985
182219,0.990455
182220,0.98517895
182221,1.0276507
182222,1.0442874
182223,1.0666889
182224,1.0601139
182225,1.0458112
182226,1.043035
182227,1.03429
182228,1.0289369
182229,1.0317076
182230,1.0228114
182231,0.9985896
182232,1.0141159
182233,1.0099239
182234,1.022585
182235,0.9957538
182236,1.0044422
182237,0.97139907
182238,1.0079929
182239,1.0007653
182240,0.98831147
182241,1.0050042
182242,0.98947996
182243,1.0027262
182244,1.0187799
182245,0.9807523
182246,1.0173786
182247,1.0089979
182248,1.0134783
182249,1.0171502
182250,1.0148772
182251,0.99997944
182252,1.00208
182253,1.008736
182254,1.0133394
182255,0.98939157
182256,1.0083992
182257,0.995305
182258,0.9953961
182259,0.9841261
182260,1.0168592
182261,0.9846149
182262,0.9777034
182263,1.0150968
182264,0.98447216
182265,1.0213679
182266,0.99062514
182267,0.985216
182268,1.0068159
182269,0.9856559
182270,0.9835146
182271,0.9918666
182272,1.001369
182273,0.9886195
182274,1.0118055
182275,0.99692386
182276,1.0053884
182277,1.0014921
182278,1.0006496
182279,1.0062466
182280,1.0143851
182281,1.0038677
182282,1.0065455
182283,1.0076195
182284,0.98415875
182285,1.012519
182286,0.99068415
182287,1.0061492
182288,1.0231396
182289,0.9859103
182290,0.9783751
182291,0.9972811
182292,0.9936209
182293,1.0238398
182294,0.9978881
182295,0.9968748
182296,1.021747
182297,1.0248288
182298,0.99565786
182299,0.98877096
182300,0.9831308
182301,1.019139
182302,0.9967501
182303,1.0182475
182304,0.98529226
182305,0.99815714
182306,1.0219445
182307,0.98321944
