c,f
123149,1.0000553
123150,0.9999746
123151,1.0002999
123152,1.0001527
123153,0.99979085
123154,1.0005043
123155,1.00011
123156,0.9994238
123157,0.99993265
123158,0.9990296
123159,0.9996988
123160,1.0003701
123161,1.0008166
123162,0.9997815
123163,0.9992757
123164,0.9998083
123165,1.00062
123166,1.0006787
123167,1.0004607
123168,1.0003605
123169,1.0005693
123170,1.0013722
123173,1.0001962
123174,1.0002658
123175,1.0002918
123176,1.000639
123177,1.0005229
123178,1.0029491
123179,1.0004576
123180,1.000665
123181,1.0002308
123182,1.0010936
123183,1.000241
123184,1.0002066
123185,0.9999307
123186,1.0002654
123187,1.0010389
123188,1.0002868
123189,0.99988735
123190,1.0001255
123191,1.0004174
123192,1.0005854
123193,1.0013661
123194,1.0001506
123195,1.0005736
123196,1.0002272
123197,1.0011619
123198,1.0006084
123199,1.0020376
123200,1.006461
123201,1.0034649
123202,1.0022812
123203,1.0014812
123204,1.0027478
123205,1.001348
123206,1.0022266
123207,1.0014864
123208,1.0013472
123209,1.0004791
123210,1.0010735
123211,1.0011073
123212,1.0020263
123213,1.0017842
123214,1.0008951
123215,1.000704
123216,1.0009552
123217,1.0018102
123218,1.0005872
123219,1.0013121
123220,1.0016384
123222,1.0007101
123223,1.0008141
123224,1.0004864
123225,1.000837
123226,1.0001206
123227,1.0009074
123228,0.99899536
123229,0.99933964
123230,0.9992284
123231,0.99934024
123232,1.0000789
123233,0.9998662
123234,0.9998448
123235,0.9991761
123236,0.99883276
123237,0.99892485
123238,0.9991087
123239,1.0008944
123240,0.99946046
123241,1.0002385
123242,0.9988017
123243,1.0002142
123244,1.0002897
123245,0.9999248
123246,0.99957836
123247,0.9996614
123248,1.0002408
123249,0.9997331
123250,0.9996006
123251,0.9999662
123252,0.9997739
123253,1.0003629
123254,0.99964714
123255,1.0007977
123256,1.0004154
123257,1.0012584
123259,1.000333
123260,1.0003308
123261,1.0004511
123262,0.99947023
123263,0.999193
123264,1.0015641
123265,1.0005811
123266,0.9994892
123267,1.0000511
123268,0.9998473
123269,1.0006677
123270,1.0003468
123271,0.99991876
123272,1.000496
123273,0.9991166
123274,1.0000312
123275,0.9992823
123276,0.99964166
123277,0.9993774
123278,1.0002216
123279,1.0000181
123280,1.0001242
123281,0.999778
123282,0.9998432
123283,0.99955326
