c,f
250161,0.9956446
250162,0.9970099
250163,1.000272
250164,0.9983624
250165,0.9982641
250166,0.9974495
250167,0.9983328
250168,1.0027729
250169,1.0006804
250170,0.99792874
250171,0.9983772
250172,0.99911857
250173,0.99340343
250174,1.0025228
250175,0.99902064
250176,0.999284
250177,0.99932665
250178,0.99975216
250179,0.9980185
250180,0.99859416
250181,0.9962551
250182,1.0003123
250183,1.0018567
250184,0.9994718
250185,1.0003037
250186,0.9962537
250187,1.0001652
250188,0.99842674
250189,0.9990051
250190,0.9961153
250191,0.99780524
250192,0.9983071
250193,0.99832326
250194,0.9973517
250195,1.0019178
250196,0.9977952
250197,1.0005045
250198,1.0013676
250199,0.99831325
250200,1.0012181
250201,0.99816585
250202,0.99958503
250203,1.0002631
250204,1.0015755
250205,0.9957157
250206,1.000016
250207,1.0030038
250208,0.99842155
250209,0.99885195
250210,1.0047452
250211,1.032762
250212,1.0167679
250213,1.0163804
250214,1.0254862
250215,1.0255934
250216,1.0203198
250217,1.0159171
250218,1.0189383
250219,1.012682
250220,1.0145761
250221,1.0135134
250222,1.013124
250223,1.0126607
250224,1.0107535
250225,1.006363
250226,1.0088006
250227,1.0059912
250228,1.0073239
250229,1.0072912
250230,1.0060165
250231,1.0091076
250232,1.0113046
250233,1.0063124
250234,1.0060276
250235,1.0094746
250236,1.0056375
250237,1.0034647
250238,1.0037168
250239,1.0033363
250240,1.0022275
250241,1.0027014
250242,1.0042937
250243,1.0020201
250244,1.0002501
250245,1.0023156
250246,1.0022742
250247,0.9996605
250248,0.99776906
250249,1.0027711
250250,1.0027863
250251,1.001206
250252,1.0053967
250253,0.9991819
250254,1.0030355
250255,1.0029222
250256,1.0033057
250257,1.0010637
250258,0.99905604
250259,1.0024319
250260,1.0000341
250261,1.0023451
250262,0.9993469
250263,1.0006242
250264,0.9974296
250265,1.0035461
250266,0.9998103
250267,1.0052669
250268,1.0001937
250269,0.99804825
250270,0.9972906
250271,0.99999446
250272,0.9982378
250273,1.0011692
250274,0.99869955
250275,1.0042156
250276,0.9985034
250277,1.0002315
250278,1.0013598
250279,0.9998666
250280,1.0020258
250281,0.9997301
250282,0.99960047
250283,0.9987599
250284,0.99938226
250285,0.9992841
250286,0.998744
250287,0.9988251
250288,1.001938
250289,1.0001004
250290,0.9981297
250291,1.0015678
250292,0.9980249
250293,1.0013659
250294,0.9987039
250295,0.9975144
250296,1.0057979
250297,1.0021482
250298,1.0014434
250299,1.0015459
250300,0.99844444
250301,0.99913746
250302,1.0003866
250303,0.99876946
250304,0.9961125
250305,1.0004869
250306,1.0001538
250307,1.0022882
250308,1.000896
250309,1.0006808
250310,0.9983238
250311,1.0009351
250312,0.99531764
250313,1.000465
250314,1.0005665
250315,0.9983042
250316,1.000707
