c,f
140446,0.9912702
140447,1.0103691
140448,0.9737875
140449,1.04919
140450,1.0152972
140451,0.9810257
140452,1.0229547
140453,0.99959975
140454,0.99833435
140455,0.9823901
140456,1.0144811
140457,0.96880996
140458,0.966346
140459,0.9725661
140460,1.0252082
140461,0.99092644
140462,1.013104
140463,1.0380406
140464,0.99628145
140465,1.0052638
140466,0.9964672
140467,1.0117885
140468,1.040662
140469,1.0138687
140470,1.0304253
140471,0.9767321
140472,1.048903
140473,1.0044913
140474,1.017292
140475,1.0018624
140476,1.010801
140477,0.9788095
140478,0.99215364
140479,0.9682502
140480,0.9796588
140481,1.0155547
140482,0.9952577
140483,1.0274581
140484,0.99671143
140485,0.99964565
140486,1.0232015
140487,0.98322123
140488,1.0233043
140489,0.98256403
140490,0.981249
140491,1.0145913
140492,0.9796965
140493,0.9764144
140494,1.0217129
140495,1.0143242
140496,1.1390076
140497,1.1992755
140498,1.0869855
140499,1.0271691
140500,1.0382086
140501,1.0177181
140502,1.0151032
140503,1.0322226
140504,1.0321652
140505,1.0092794
140506,0.995664
140507,0.96259165
140508,1.0150774
140509,0.9822569
140510,0.95061153
140511,0.9845093
140512,1.0460298
140513,1.0219383
140514,1.0137168
140515,1.0416954
140516,0.9967026
140517,0.98092824
140518,0.99087155
140519,0.9992462
140520,1.0072937
140521,1.0048529
140522,0.9691832
140523,0.98783726
140524,0.9867358
140525,0.9837919
140526,0.98666304
140527,1.0028611
140528,1.0073016
140529,1.0184661
140530,1.0471185
140531,1.012856
140532,1.0129923
140533,1.0456866
140534,1.0294113
140535,1.0179847
140536,1.0316824
140537,0.9650333
140538,1.0580016
140539,0.96860695
140540,1.0304904
140541,1.0175475
140542,1.0287238
140543,0.98426634
140544,0.9949314
140545,1.0240499
140546,1.0316582
140547,1.0298443
140548,1.0245554
140549,1.020143
140550,0.9764533
140551,0.9908408
140552,0.99827576
140553,0.9105827
140554,1.0538223
140555,1.0272624
140556,0.9807039
140557,0.9855324
140558,1.0133914
140559,0.97895795
140560,1.0087669
140561,1.002893
140562,0.99638927
140563,0.97015697
140564,1.0437325
140565,1.0188522
140566,1.0172164
140567,0.9593096
140568,1.0721499
140569,1.029341
140570,0.9598271
140571,0.99887013
140572,0.9977833
140573,1.0381278
140574,0.99195045
140575,1.0300055
140576,1.020785
140577,1.0172784
140578,0.98583555
140579,1.0525383
