c,f
298522,1.0193824
298523,1.0107106
298524,1.0247396
298525,1.0180403
298526,1.0226098
298527,1.0144098
298528,1.0230423
298529,1.0083216
298530,1.0135205
298531,1.0244001
298532,1.0229169
298533,1.0204315
298534,1.0289598
298535,1.0499947
298536,1.0195093
298537,1.0086794
298538,1.025074
298539,1.0260994
298540,1.0236652
298541,1.0318155
298542,1.0148653
298543,1.0234103
298544,1.0210558
298545,1.0374088
298546,1.0297474
298547,1.0096836
298548,1.0218469
298549,1.0207919
298550,1.0094316
298551,1.0205464
298552,1.0294472
298553,1.0444298
298554,1.0160235
298555,1.0367942
298556,1.006829
298557,1.0082303
298558,1.0212902
298559,1.0138421
298560,1.0213822
298561,1.018067
298562,1.016019
298563,1.0199409
298564,1.0213133
298565,1.0114344
298566,1.0086287
298567,1.0139265
298568,1.0188003
298569,1.0107865
298570,1.0137455
298571,1.0024531
298572,1.0172806
298573,1.0199503
298574,1.0178745
298575,1.0035646
298576,1.0089442
298577,0.99763453
298578,1.0190818
298579,1.0241481
298580,1.0207163
298581,1.0038311
298582,1.0044849
298583,1.0071071
298584,0.99990803
298585,1.00502
298586,1.0138564
298587,0.985358
298588,0.9984546
298589,0.99303603
298590,1.0101663
298591,0.997861
298592,0.99434495
298593,1.0074067
298594,1.0003991
298595,1.0037144
298596,1.000406
298597,0.9922281
298598,1.0044315
298599,0.9939168
298600,1.0006853
298601,0.9960946
298602,1.0096866
298603,0.9913763
298604,0.99051285
298605,1.0032539
298606,1.0009936
298607,0.9978985
298608,0.98751575
298609,0.98808235
298610,0.9828164
298611,0.98827815
298612,0.98527336
298613,0.9944469
298614,0.97629404
298615,0.9913169
298616,1.0010363
298617,0.97995955
298618,0.9901032
298619,0.9957802
298620,0.9931927
298621,0.9798921
298622,0.9982493
298623,0.9925165
298624,0.99171686
298625,0.9783812
298626,0.9884226
298627,0.98174465
298628,0.9863559
298629,0.9967067
298630,0.9987254
298631,0.9881866
298632,1.0001779
298633,0.9903007
298634,0.99578077
298635,0.9983986
298636,0.99081445
298637,1.0176656
298638,0.9886328
298639,1.0007541
298640,1.0136119
298641,1.0074574
298642,0.99064785
298643,1.0008688
298644,1.0213149
298645,0.9812668
298646,0.9980843
298647,1.0188168
298648,0.9932672
298649,0.99446076
298650,0.9893464
298651,1.0100566
298652,1.0035026
298653,1.0060494
298654,0.9974434
298655,0.99997723
